Date,Open,High,Low,Close,Volume,Dividend,MRI,MRI_Signal,RSI_14,bb_upper_ta,bb_middle_ta,bb_lower_ta,AROOND_25,AROONU_25,AROONOSC_25,MFI_14,SMA_5,SMA_10,SMA_20,SMA_60,SMA_120,SMA_240,STOCHk_20_10_3,STOCHd_20_10_3,STOCHk_14_3_3,STOCHd_14_3_3,ppo,ppo_signal,ppo_histogram,Stock,Market Cap
2020-09-14,101.51000213623048,103.45999908447266,101.37000274658205,102.47000122070312,19017400,0.0,0.6,Hold,55.9039765548486,103.7817,100.3515,96.9213,0.0,12.0,12.0,62.4502,100.832,101.099,100.3515,98.292,96.4553,111.3977,51.4071,48.9991,45.89273140618584,43.145840355442715,0.6533,0.6682,-0.015,JPM,239338599963.3789
2020-09-15,102.7300033569336,102.8499984741211,99.13999938964844,99.27999877929688,23683000,0.0,0.6,Hold,47.36614631305286,103.7824,100.33,96.8776,31.999999999999996,7.9999999999999964,-24.0,54.4169,100.704,101.008,100.33,98.3165,96.5182,111.3395,49.2271,48.0095,35.74714621574188,41.67944108623427,0.4664,0.6279,-0.1615,JPM,231887743254.0894
2020-09-16,99.43000030517578,101.12999725341795,98.76000213623048,99.6999969482422,19270600,0.0,0.6,Hold,51.375734462635265,103.7355,100.399,97.0625,28.000000000000004,4.0000000000000036,-24.0,52.8772,100.47,100.964,100.399,98.3657,96.5313,111.2874,43.797,47.2416,24.98668406829348,35.54218723007374,0.3478,0.5719,-0.224,JPM,232868806079.1016
2020-09-17,98.6999969482422,99.33999633789062,97.70999908447266,98.55999755859376,18290100,0.0,0.6,Hold,40.54862398796351,103.7349,100.3995,97.0641,24.0,0.0,-24.0,44.8955,100.216,100.655,100.3995,98.3762,96.5933,111.2205,28.2996,45.4649,10.138573517000067,23.624134600345155,0.1603,0.4895,-0.3293,JPM,230206094647.2168
2020-09-18,97.88999938964844,99.48999786376952,97.44000244140624,98.3499984741211,20121600,0.0,0.6,Hold,38.860889655246716,103.6213,100.4485,97.2757,19.999999999999996,64.0,44.0,38.4263,99.672,100.357,100.4485,98.4377,96.6337,111.1537,24.1532,43.1713,12.539516191046689,15.888257925446757,-0.0055,0.3905,-0.3961,JPM,229715552949.524
2020-09-21,95.1999969482422,96.0500030517578,93.81999969482422,95.30999755859376,28378800,0.0,0.6,Hold,37.98028534682931,104.0253,100.348,96.6707,100.0,60.0,-40.0,36.629,98.24,99.536,100.348,98.3935,96.6777,111.085,17.0195,39.214,12.042203739075077,11.573431149040621,-0.3794,0.2365,-0.616,JPM,222615030271.9116
2020-09-22,94.95999908447266,95.66000366210938,93.66999816894533,94.2699966430664,19257000,0.0,0.6,Hold,36.21417920583352,104.6334,100.0585,95.4836,100.0,56.00000000000001,-43.99999999999999,35.7551,97.238,98.971,100.0585,98.4215,96.7603,111.0085,11.7768,35.3747,9.997530451011679,11.526416793711157,-0.7543,0.0384,-0.7927,JPM,220185936572.2656
2020-09-23,94.77999877929688,95.3499984741211,92.66000366210938,92.73999786376952,19952700,0.0,0.6,Hold,29.09431092704142,105.2857,99.6705,94.0553,100.0,52.0,-48.0,30.0345,95.846,98.158,99.6705,98.4172,96.8038,110.919,6.3061,31.1905,6.306109956746153,9.44861471561098,-1.1668,-0.2027,-0.9642,JPM,216612369000.2442
2020-09-24,92.31999969482422,94.3000030517578,91.37999725341795,92.66000366210938,18366500,0.0,0.6,Hold,29.42572037516223,105.781,99.349,92.917,100.0,48.0,-52.0,22.0896,94.666,97.441,99.349,98.3938,96.8756,110.8212,5.0307,28.0039,5.030661564867024,7.1114339908749615,-1.4871,-0.4596,-1.0276,JPM,216425507727.0508
2020-09-25,92.0500030517578,93.72000122070312,91.87000274658205,93.47000122070312,13293100,0.0,0.6,Hold,24.479436083364703,105.6815,98.905,92.1285,96.0,43.99999999999999,-52.00000000000001,17.6296,93.69,96.681,98.905,98.3973,96.909,110.7254,8.3349,24.5352,9.012640555497939,6.783137359037048,-1.6573,-0.6991,-0.9582,JPM,218317364981.0791
2020-09-28,95.05999755859376,96.93000030517578,94.3499984741211,96.16000366210938,20894100,0.0,0.6,Hold,39.98936434708141,105.2004,98.5745,91.9486,92.0,40.0,-52.0,25.5762,93.86,96.05,98.5745,98.4557,96.955,110.6262,19.6433,21.3588,21.990033638258712,12.011111919541236,-1.5504,-0.8694,-0.6811,JPM,224600400444.0308
2020-09-29,96.02999877929688,96.02999877929688,94.33000183105467,95.3499984741211,12848200,0.0,0.6,Hold,35.19312110190728,105.0627,98.3325,91.6023,88.0,36.0,-52.0,25.7055,94.076,95.657,98.3325,98.4615,96.9638,110.5249,26.1268,19.0488,29.85968570277714,20.287453298844607,-1.5162,-0.9987,-0.5175,JPM,222708481478.8818
2020-09-30,95.3499984741211,97.1999969482422,95.26000213623048,96.2699966430664,16400600,0.0,0.6,Hold,40.38875314990656,104.8729,98.139,91.4051,84.0,31.999999999999996,-52.0,31.9071,94.782,95.314,98.139,98.5273,96.9097,110.4245,32.8754,17.9566,37.63798275807631,29.829234033037398,-1.3961,-1.0782,-0.3179,JPM,224857324409.4849
2020-10-01,97.12000274658205,97.7699966430664,96.02999877929688,96.97000122070312,15778700,0.0,0.6,Hold,38.598449086106505,104.4478,97.905,91.3622,80.0,28.000000000000004,-52.0,32.2824,95.644,95.155,97.905,98.5885,96.8995,110.3262,34.8277,18.6094,39.87307502026302,35.79024782703883,-1.2281,-1.1082,-0.1199,JPM,226492319409.1797
2020-10-02,95.25,98.58999633789062,95.08999633789062,97.88999938964844,15149600,0.0,0.6,Hold,36.91428048270091,104.0744,97.733,91.3916,76.0,24.0,-52.0,31.0052,96.528,95.109,97.733,98.6987,96.9194,110.2193,40.9496,20.2891,47.83725028912979,41.782769355823056,-1.0065,-1.0878,0.0814,JPM,228641100628.6621
2020-10-05,98.31999969482422,99.25,97.52999877929688,99.04000091552734,13871900,0.9,0.6,Hold,49.223810226448926,103.2806,97.509,91.7374,72.0,19.999999999999996,-52.0,37.9502,97.104,95.482,97.509,98.7448,96.9882,110.112,50.1098,23.5981,60.531923243235575,49.41408285087615,-0.7267,-1.0156,0.2889,JPM,233473780764.7705
2020-10-06,100.06999969482422,100.86000061035156,97.51000213623048,98.0199966430664,19220400,0.0,0.6,Hold,44.76961468719726,103.0801,97.414,91.7479,68.0,16.000000000000004,-52.0,45.8431,97.638,95.857,97.414,98.751,97.0772,109.9991,54.959,27.9163,68.45435743906093,58.94117699047544,-0.5834,-0.9292,0.3458,JPM,231069248091.1255
2020-10-07,98.95999908447266,100.3499984741211,98.66999816894533,99.7300033569336,16358500,0.0,0.6,Hold,53.51775381251518,102.8983,97.357,91.8157,64.0,12.0,-52.0,52.9592,98.33,96.556,97.357,98.7763,97.1152,109.8937,62.3093,33.5166,78.89550164864745,69.29392744364799,-0.3244,-0.8082,0.4838,JPM,235100383052.063
2020-10-08,100.51000213623048,101.91999816894533,99.9000015258789,101.77999877929688,15659000,0.0,0.6,Hold,59.285323935179505,103.2421,97.4545,91.6669,60.0,7.9999999999999964,-52.0,60.5583,99.292,97.468,97.4545,98.8105,97.1991,109.7927,70.0607,40.0197,85.59803249438319,77.64929719403054,0.0485,-0.6369,0.6854,JPM,239932939765.9302
2020-10-09,102.0,102.11000061035156,100.11000061035156,101.1999969482422,13689100,0.0,0.6,Hold,68.39474015279748,103.266,97.461,91.656,56.00000000000001,4.0000000000000036,-52.0,64.1246,99.954,98.241,97.461,98.8303,97.3003,109.6872,78.8355,47.0697,92.75700282230753,85.75017898844607,0.2916,-0.4512,0.7428,JPM,238565668177.7954
2020-10-12,101.0999984741211,103.0,100.8499984741211,102.44000244140624,16058000,0.0,0.6,Hold,75.20048910917839,103.2591,97.4595,91.6599,52.0,0.0,-52.0,72.0616,100.634,98.869,97.4595,98.9017,97.4095,109.5872,87.5216,53.8575,95.1238505127809,91.15962860982388,0.5776,-0.2454,0.823,JPM,241488800538.6352
2020-10-13,103.0,103.22000122070312,100.26000213623048,100.77999877929688,21697300,0.0,0.6,Hold,74.6021770362967,103.4704,97.5345,91.5986,48.0,0.0,-48.0,70.9918,101.186,99.412,97.5345,98.9597,97.5044,109.4833,85.288,59.7737,88.69723235136827,92.19269522881892,0.6604,-0.0643,0.7247,JPM,237575616099.5484
2020-10-14,101.02999877929688,101.93000030517578,100.0999984741211,100.22000122070312,15204100,0.0,0.6,Hold,72.47320870493704,103.5407,97.5605,91.5803,43.99999999999999,12.0,-31.999999999999993,71.5406,101.284,99.807,97.5605,98.9732,97.5837,109.3804,83.0783,64.7939,82.71363386770247,88.8449055772839,0.6726,0.0831,0.5895,JPM,236255450666.8091
2020-10-15,99.0999984741211,101.77999877929688,99.04000091552734,101.72000122070312,17171200,0.0,0.6,Hold,73.55793320825393,103.9707,97.7185,91.4663,40.0,7.9999999999999964,-32.0,72.1593,101.272,100.282,97.7185,99.0237,97.6428,109.2717,80.4617,69.3574,78.69575483832834,83.3688736857997,0.7944,0.2254,0.569,JPM,239791559588.623
2020-10-16,101.41000366210938,102.33000183105467,100.72000122070312,101.51000213623048,13275000,0.0,0.6,Hold,67.79770712405757,104.3516,97.8765,91.4014,36.0,4.0000000000000036,-31.999999999999996,71.3359,101.334,100.644,97.8765,99.0658,97.6947,109.1579,82.5169,73.5141,79.15343323418683,80.18760731340588,0.8634,0.353,0.5104,JPM,239296451268.0054
2020-10-19,101.5999984741211,101.87000274658205,99.55999755859376,99.8000030517578,11725700,0.0,0.6,Hold,63.96735790925099,104.5125,98.101,91.6895,31.999999999999996,0.0,-31.999999999999996,71.4853,100.806,100.72,98.101,99.0912,97.7108,109.0358,81.3345,76.6365,73.94188281346524,77.26369029532681,0.771,0.4366,0.3344,JPM,235265378018.1885
2020-10-20,100.30999755859376,101.7699966430664,100.12000274658205,100.37000274658205,11257100,0.0,0.6,Hold,63.157899891484526,104.6277,98.406,92.1843,28.000000000000004,80.0,52.0,70.8997,100.724,100.955,98.406,99.149,97.7493,108.9153,77.5338,78.894,67.88107658546313,73.65879754437175,0.7354,0.4963,0.239,JPM,236609055387.8784
2020-10-21,100.36000061035156,100.98999786376952,99.33000183105467,99.37000274658205,10730500,0.0,0.6,Hold,57.55667391330464,104.3663,98.7375,93.1087,24.0,76.0,52.0,65.208,100.554,100.919,98.7375,99.1832,97.8003,108.7877,71.509,79.814,58.507630015565404,66.7768631381646,0.6193,0.5209,0.0983,JPM,234251690580.7495
2020-10-22,99.31999969482422,103.23999786376952,99.30999755859376,102.87999725341795,14837200,0.0,0.6,Hold,63.50837973134795,104.3886,99.2485,94.1084,19.999999999999996,100.0,80.0,65.2706,100.786,101.029,99.2485,99.2365,97.8898,108.6731,80.082,80.8161,70.43550835814425,65.6080716530576,0.8008,0.5769,0.2239,JPM,242526061624.1455
