Date,Open,High,Low,Close,Volume,Dividend,MRI,MRI_Signal,RSI_14,bb_upper_ta,bb_middle_ta,bb_lower_ta,AROOND_25,AROONU_25,AROONOSC_25,MFI_14,SMA_5,SMA_10,SMA_20,STOCHk_20_10_3,STOCHd_20_10_3,STOCHk_14_3_3,STOCHd_14_3_3,ppo,ppo_signal,ppo_histogram,Stock,Market Cap
2026-01-21,10570.0,10650.0,10545.0,10650.0,1121364,0.0,0.7,Hold,85.79545454545455,10589.7327,10255.25,9920.7673,NaN,NaN,NaN,77.9884,10462.0,10372.5,10255.25,98.6984,NaN,98.69837451034823,94.22031518114717,1.1332,0.7649,0.3683,0138Y0.KS,NaN
2026-01-22,10505.0,10575.0,10490.0,10575.0,744942,0.0,0.7,Hold,79.05759162303664,10636.0142,10276.25,9916.4858,NaN,NaN,NaN,74.2274,10502.0,10420.5,10276.25,96.117,NaN,95.62343286984272,96.06972844232176,1.205,0.8529,0.3521,0138Y0.KS,NaN
2026-01-23,10680.0,10735.0,10680.0,10700.0,816392,0.0,0.7,Hold,79.79797979797979,10703.9113,10297.25,9890.5887,36.0,100.0,64.0,75.2773,10569.0,10470.0,10297.25,94.9424,NaN,94.15378886613293,96.15853208210795,1.3426,0.9508,0.3917,0138Y0.KS,NaN
2026-01-26,10750.0,10805.0,10740.0,10765.0,1534507,0.0,0.7,Hold,80.09950248756219,10779.4166,10325.75,9872.0834,31.999999999999996,100.0,68.0,78.0426,10634.0,10512.5,10325.75,93.3829,NaN,92.31470840636281,94.0306433807795,1.4833,1.0573,0.426,0138Y0.KS,NaN
2026-01-27,10750.0,10790.0,10725.0,10770.0,907549,0.0,0.7,Hold,82.65306122448979,10844.0799,10355.75,9867.4201,28.000000000000004,96.0,68.0,70.0076,10692.0,10554.5,10355.75,95.5898,NaN,94.77055365447048,93.74635030898874,1.5791,1.1617,0.4174,0138Y0.KS,NaN
2026-01-28,10840.0,10900.0,10820.0,10895.0,1360133,0.0,0.7,Hold,87.38317757009347,10926.3088,10393.5,9860.6912,24.0,100.0,76.0,75.7135,10741.0,10601.5,10393.5,96.9006,NaN,96.34075367379602,94.47533857820979,1.7295,1.2753,0.4542,0138Y0.KS,NaN
2026-01-29,11180.0,11250.0,11130.0,11250.0,2479575,0.0,0.7,Hold,89.73384030418251,11081.9223,10455.0,9828.0777,19.999999999999996,100.0,80.0,79.6273,10876.0,10689.0,10455.0,98.46,NaN,98.17983413356613,96.43038048727755,2.0916,1.4385,0.6531,0138Y0.KS,NaN
2026-01-30,11200.0,11210.0,10815.0,10870.0,2608895,0.0,0.7,Hold,66.98717948717949,11115.438,10497.5,9879.562,16.000000000000004,96.0,80.0,64.8979,10910.0,10739.5,10497.5,89.3993,94.7453,85.9456779875954,93.48875526498585,2.0644,1.5637,0.5007,0138Y0.KS,NaN
2026-02-02,10395.0,10605.0,10240.0,10245.0,2214934,0.0,0.7,Hold,47.58620689655172,11107.1315,10504.25,9901.3685,12.0,92.0,80.0,55.34,10806.0,10720.0,10504.25,60.9423,91.832,52.98833162004724,79.03794791373626,1.5523,1.5614,-0.0091,0138Y0.KS,NaN
2026-02-03,10425.0,10560.0,10425.0,10560.0,1541449,0.0,0.7,Hold,52.795031055900616,11105.1864,10524.25,9943.3136,7.9999999999999964,88.0,80.0,57.5226,10764.0,10728.0,10524.25,41.2842,86.5717,30.21605439232448,56.3833546666557,1.3694,1.523,-0.1536,0138Y0.KS,NaN
2026-02-04,10670.0,10810.0,10660.0,10770.0,1213288,0.0,0.7,Hold,57.66990291262135,11115.8634,10556.25,9996.6366,4.0000000000000036,84.0,80.0,62.3813,10739.0,10740.0,10556.25,38.0342,80.5053,28.21782178217822,37.140735931516645,1.3681,1.492,-0.1239,0138Y0.KS,NaN
2026-02-05,10780.0,10780.0,10530.0,10690.0,1095666,0.0,0.7,Hold,56.14366729678638,11104.0896,10586.0,10067.9104,0.0,80.0,80.0,60.308,10627.0,10751.5,10586.0,50.2924,75.9228,42.9042904290429,33.77938886784853,1.2912,1.4519,-0.1606,0138Y0.KS,NaN
2026-02-06,10395.0,10660.0,10360.0,10615.0,941881,0.0,0.7,Hold,53.30812854442345,11092.5702,10606.5,10120.4298,0.0,76.0,76.0,55.9332,10576.0,10743.0,10606.5,48.9934,71.3279,44.71947194719471,38.61386138613861,1.1601,1.3935,-0.2334,0138Y0.KS,NaN
2026-02-09,10800.0,10800.0,10710.0,10760.0,762835,0.0,0.7,Hold,55.090909090909086,11101.2254,10627.5,10153.7746,0.0,72.0,72.0,56.3463,10679.0,10742.5,10627.5,46.497,66.6393,44.38943894389439,44.004400440044,1.1527,1.3454,-0.1926,0138Y0.KS,NaN
2026-02-10,10760.0,10790.0,10725.0,10760.0,716674,0.0,0.7,Hold,52.131782945736425,11106.4,10648.0,10189.6,7.9999999999999964,68.0,60.0,55.4482,10719.0,10741.5,10648.0,46.6997,61.7503,46.6996699669967,45.269526952695266,1.1336,1.303,-0.1694,0138Y0.KS,NaN
2026-02-11,10750.0,10785.0,10745.0,10755.0,521941,0.0,0.7,Hold,53.58565737051793,11112.7469,10664.5,10216.2531,4.0000000000000036,64.0,60.0,58.8509,10716.0,10727.5,10664.5,51.3201,57.1923,51.320132013201324,47.46974697469747,1.1018,1.2628,-0.161,0138Y0.KS,NaN
