Date,Open,High,Low,Close,Volume,Dividend,MRI,MRI_Signal,RSI_14,bb_upper_ta,bb_middle_ta,bb_lower_ta,AROOND_25,AROONU_25,AROONOSC_25,MFI_14,SMA_5,SMA_10,SMA_20,SMA_60,SMA_120,SMA_240,STOCHk_20_10_3,STOCHd_20_10_3,STOCHk_14_3_3,STOCHd_14_3_3,ppo,ppo_signal,ppo_histogram,Stock,Market Cap
2024-05-22,9915.0,9940.0,9625.0,9640.0,128893,0.0,0.7,Hold,56.98529411764705,9880.04,9514.0,9147.96,12.0,100.0,88.0,37.7104,9752.0,9605.0,9514.0,9496.25,8972.6667,NaN,83.3864,82.0088,76.61162273737695,83.4627466904097,1.094,0.7365,0.3575,463050.KS,NaN
2024-05-23,9590.0,9660.0,9505.0,9550.0,75215,0.0,0.7,Hold,50.0,9856.5326,9534.25,9211.9674,7.9999999999999964,96.0,88.0,31.3012,9727.0,9607.0,9534.25,9514.1667,8983.375,NaN,71.474,80.6391,63.89329946014607,76.55830861261931,0.9621,0.7816,0.1805,463050.KS,NaN
2024-05-24,9440.0,9620.0,9350.0,9600.0,167508,0.0,0.7,Hold,54.1044776119403,9859.3117,9546.0,9232.6883,4.0000000000000036,92.0,88.0,30.4844,9683.0,9619.5,9546.0,9526.8333,8993.2083,NaN,57.4012,78.2294,51.30023640661938,63.93505286804746,0.8894,0.8032,0.0862,463050.KS,NaN
2024-05-27,9600.0,9600.0,9360.0,9495.0,205283,0.0,0.7,Hold,48.57142857142857,9859.1189,9545.5,9231.8811,0.0,88.0,88.0,26.3992,9624.0,9622.0,9545.5,9531.3333,9002.375,NaN,47.8553,75.291,44.444444444444436,53.212660103736624,0.7349,0.7895,-0.0546,463050.KS,NaN
2024-05-28,9485.0,9575.0,9420.0,9490.0,145829,0.0,0.7,Hold,45.283018867924525,9848.8047,9554.75,9260.6953,0.0,84.0,84.0,26.7663,9555.0,9639.5,9554.75,9538.1667,9012.9583,NaN,41.6076,72.3592,41.607565011820334,45.78408195429471,0.6013,0.7519,-0.1506,463050.KS,NaN
2024-05-29,9460.0,9460.0,9290.0,9290.0,156587,0.0,0.7,Hold,41.666666666666664,9845.8366,9555.75,9265.6634,0.0,80.0,80.0,39.8629,9485.0,9618.5,9555.75,9541.4167,9020.7917,NaN,26.9504,67.8883,26.95035460992908,37.66745468873128,0.3225,0.666,-0.3435,463050.KS,NaN
2024-05-30,9295.0,9410.0,9250.0,9300.0,68704,0.0,0.7,Hold,43.72759856630824,9857.0043,9548.25,9239.4957,0.0,76.0,76.0,40.4239,9435.0,9581.0,9548.25,9546.5833,9029.25,NaN,17.7305,62.062,17.73049645390071,28.762805358550036,0.1081,0.5544,-0.4463,463050.KS,NaN
2024-05-31,9335.0,9380.0,9160.0,9375.0,74515,0.0,0.7,Hold,46.75767918088737,9857.8163,9539.5,9221.1837,0.0,72.0,72.0,34.131,9390.0,9536.5,9539.5,9551.75,9037.4583,NaN,14.8618,54.7523,14.861793053282417,19.847548039037395,0.0017,0.4439,-0.4422,463050.KS,NaN
2024-06-03,9350.0,9665.0,9345.0,9560.0,207232,0.0,0.7,Hold,58.19397993311036,9860.5631,9543.0,9225.4369,96.0,68.0,-28.0,42.1124,9403.0,9513.5,9543.0,9554.75,9046.2083,NaN,29.3553,48.4693,29.35533733406074,20.649208947081284,0.0739,0.3699,-0.296,463050.KS,NaN
2024-06-04,9590.0,9980.0,9540.0,9880.0,582966,0.0,0.7,Hold,61.65644171779141,9911.6603,9560.25,9208.8397,92.0,100.0,8.0,51.6448,9481.0,9518.0,9560.25,9557.0,9058.4167,NaN,55.5503,44.6173,55.55034396497812,33.25582478410709,0.3977,0.3754,0.0222,463050.KS,NaN
2024-06-05,9885.0,9995.0,9735.0,9975.0,506091,0.0,0.7,Hold,59.677419354838705,9975.3749,9578.25,9181.1251,88.0,100.0,12.0,55.7716,9618.0,9551.5,9578.25,9563.8333,9072.9167,NaN,78.8972,44.1684,78.89723991666449,54.60097373856778,0.7241,0.4452,0.2789,463050.KS,NaN
2024-06-07,10030.0,10360.0,9995.0,10345.0,564997,0.0,0.7,Hold,64.78873239436619,10142.4461,9619.0,9095.5539,84.0,100.0,16.0,69.3137,9827.0,9631.0,9619.0,9569.6667,9090.5833,NaN,94.7199,46.4929,94.71988948931407,76.38915779031889,1.274,0.6109,0.663,463050.KS,NaN
2024-06-10,10300.0,10400.0,10045.0,10145.0,493205,0.0,0.7,Hold,59.12596401028278,10220.9652,9652.5,9084.0348,80.0,100.0,20.0,57.9218,9981.0,9685.5,9652.5,9573.25,9107.0833,NaN,91.9301,49.9458,91.93009143004315,88.51574027867389,1.5213,0.793,0.7283,463050.KS,NaN
2024-06-11,10155.0,10510.0,10135.0,10390.0,393762,0.0,0.7,Hold,62.93706293706294,10347.9135,9698.5,9049.0865,76.0,100.0,24.0,64.2087,10147.0,9775.0,9698.5,9579.0833,9124.5417,NaN,89.7655,54.1369,89.76553166069294,92.13850419335006,1.8937,1.0131,0.8806,463050.KS,NaN
2024-06-12,10465.0,10465.0,10215.0,10290.0,289597,0.0,0.7,Hold,65.85365853658537,10421.3613,9747.25,9073.1387,72.0,96.0,24.0,61.3537,10229.0,9855.0,9747.25,9584.1667,9141.125,NaN,84.7501,58.4511,84.75009956192751,88.81524088422118,2.0791,1.2263,0.8528,463050.KS,NaN
