Date,price,Open,High,Low,Close,Volume,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,stochk_ta,stochd_ta,bb_upper_ta,bb_lower_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,aroon_up_ta,aroon_down_ta,ppo_histogram,stock_ticker,rate_vs,shares_vs,Close_vs
2024-06-03,0.15828199684619904,0.15720100700855255,0.16321100294589996,0.15602700412273407,0.15828199684619904,929987302,2418765.7528305016,0,0.15296689797412455,2418765.5998636037,15281369.0,2886.130559050002,81000,,43.35212720479774,49.8194,70.6848,0.1744,0.1476,0.1589,0.161,0.1592,0.1475,0.1135,0.684777021408081,68.0,16.000000000000004,-0.5483,DOGE-USD,74.20417800654718,260.0,481.9306945800781
2024-06-04,0.16144999861717224,0.15828199684619904,0.16174399852752686,0.15716299414634705,0.16144999861717224,760727969,2467177.1568853967,0,0.15296689797412455,2467177.0039184988,15281369.0,2945.8977245498727,81000,,41.65742760191717,45.821,67.4489,0.1745,0.1482,0.1593,0.1613,0.1589,0.1482,0.1139,0.684777021408081,64.0,12.0,-0.4612,DOGE-USD,74.44320083369566,260.0,482.5167846679688
2024-06-05,0.16323499381542206,0.16144999861717224,0.16472400724887848,0.16129200160503387,0.16323499381542206,820053785,2494454.3271730803,0,0.15296689797412455,2494454.1742061824,15281369.0,2979.573243423556,81000,,47.16047605794106,50.7941,64.1628,0.174,0.1501,0.1601,0.162,0.1585,0.1489,0.1143,0.684777021408081,60.0,7.9999999999999964,-0.324,DOGE-USD,76.79693783055363,260.0,488.2882080078125
2024-06-06,0.16015900671482086,0.16323499381542206,0.16516999900341034,0.1586569994688034,0.16015900671482086,893170339,2447449.0332495533,0,0.15296689797412455,2447448.8802826554,15281369.0,2921.542016357473,81000,,50.56776521586606,51.3581,60.5041,0.1738,0.1507,0.1601,0.1623,0.1579,0.1495,0.1147,0.684777021408081,56.00000000000001,4.0000000000000036,-0.3548,DOGE-USD,76.75238163575065,260.0,488.178955078125
2024-06-07,0.14830300211906433,0.16015799343585968,0.16201899945735931,0.1431179940700531,0.14830300211906433,1581768204,2266273.051414587,0,0.003922380844464918,2266273.047492206,15281370.0,2697.867964709367,81000,Buy all cash ,36.098659323089,39.9438,56.5222,0.1746,0.1495,0.1583,0.162,0.157,0.1501,0.1151,0.684777021408081,52.0,0.0,-0.8393,DOGE-USD,76.49310938710934,260.0,487.543212890625
2024-06-10,0.1447400003671646,0.1467670053243637,0.14781999588012695,0.1434669941663742,0.1447400003671646,752565082,2211825.5033331593,0,0.003922380844464918,2211825.4994107783,15281370.0,2630.64876954711,81000,,19.544190065310076,8.7162,39.9184,0.1753,0.144,0.1492,0.1596,0.1546,0.1517,0.1162,0.684777021408081,40.0,88.0,-1.4625,DOGE-USD,77.14534736052985,260.0,489.14251708984375
2024-06-11,0.13810400664806366,0.1447419971227646,0.14504699409008026,0.13410300016403198,0.13810400664806366,1271975142,2110418.4279939015,0,0.003922380844464918,2110418.4240715206,15281370.0,2505.454849375187,81000,,18.390424015862237,8.8946,34.6833,0.1763,0.1402,0.1448,0.1582,0.1539,0.1522,0.1165,0.684777021408081,36.0,100.0,-1.7385,DOGE-USD,77.59908624151662,260.0,490.2550964355469
2024-06-12,0.14619599282741547,0.13809700310230255,0.1503250002861023,0.13503000140190125,0.14619599282741547,1274848212,2234075.062835463,0,0.003922380844464918,2234075.058913082,15281370.0,2658.117361525263,81000,,32.25574829876467,14.9836,30.6738,0.1764,0.1387,0.1444,0.1576,0.1538,0.1527,0.1169,0.684777021408081,31.999999999999996,96.0,-1.482,DOGE-USD,79.26413132792118,260.0,494.33782958984375
2024-06-13,0.1410599946975708,0.14619700610637665,0.14635300636291504,0.14038099348545074,0.1410599946975708,790003626,2155589.9750939985,0,0.003922380844464918,2155589.9711716175,15281370.0,2561.222191474072,81000,,31.62401645665743,18.9969,27.5915,0.1764,0.1365,0.1434,0.1564,0.1535,0.1532,0.1172,0.684777021408081,28.000000000000004,92.0,-1.4562,DOGE-USD,79.64492499724861,260.0,495.27154541015625
2024-06-14,0.13496999442577362,0.14104600250720978,0.14321300387382507,0.13216400146484375,0.13496999442577362,859600884,2062526.427640565,0,0.003922380844464918,2062526.4237181842,15281370.0,2446.328923013043,81000,,28.41393314647405,17.9062,24.8001,0.1748,0.1341,0.141,0.1545,0.153,0.1536,0.1175,0.684777021408081,24.0,100.0,-1.6199,DOGE-USD,79.80699504437838,260.0,495.6689453125
