Date,rate_KR_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,Max_Divergence,Volatility_Adjustment,Expected_Return,sma60_ta,sma120_ta,sma240_ta,Mean_Relative_Divergence_240,Percentile_90_Relative_Divergence_240,Difference_Percentile_vs_Mean,Rolling_Divergence_480
2021-11-01,3.04,103.4,-100.36,0.97,-5.22,32.22,2.6614100918548016,0.0,,,,,,,
2021-12-29,11.68,110.49,-98.81,3.44,-1.9,32.22,2.625479566920259,0.0,,,,,,,
2022-02-25,15.11,91.86,-76.75,19.7,-0.12,32.22,2.3805758230410743,0.0,,,,,,,
2022-04-25,35.67,86.8,-51.13,38.58,7.57,32.22,2.2763511967664978,0.0,,,,,,,
2022-06-22,16.31,63.12,-46.81,41.76,2.59,32.22,3.289911879991748,0.0,,,,,,,
2022-08-18,20.78,84.98,-64.2,28.95,-4.08,32.22,3.002971454862642,0.0,,,,,,,
2022-10-14,7.46,53.85,-46.39,42.07,3.4,32.22,2.5754986061485456,0.0,,,,,,,
2022-12-12,14.53,70.93,-56.4,34.69,-0.56,32.22,2.1729744697471967,0.0,,,,,,,
2023-02-09,9.07,73.66,-64.59,28.66,-5.7,32.22,1.91393525513664,0.0,,,,,,,
2023-04-10,18.74,73.97,-55.23,35.56,-4.49,32.22,1.7016234434450987,0.0,,,,,,,
2023-06-06,12.8,81.01,-68.21,25.99,-9.19,32.22,1.5338403090056896,0.0,,,,,,,
2023-08-03,19.44,88.91,-69.47,25.06,0.54,32.22,1.4545542030990386,0.0,,,,,,,
2023-09-29,9.87,79.47,-69.6,24.97,4.93,32.22,1.371893418955179,0.0,,,,,,,
2023-11-27,8.42,90.05,-81.63,16.1,-13.8,32.22,1.3047602091190134,0.0,,,,,,,
2024-01-25,13.1,103.14,-90.04,9.9,-1.69,32.22,1.3085779449781056,0.0,,,,,,,
2024-03-22,33.68,115.96,-82.28,15.62,8.79,32.22,1.3913058581139315,0.0,,,,,,,
2024-05-20,27.92,118.46,-90.54,9.54,-13.61,32.22,1.4593895117259603,0.0,,,,,,,
2024-07-18,29.58,126.6,-97.02,7.04,5.7,32.22,1.5814646210149954,0.0,,,,,,,
2024-09-13,31.57,129.28,-97.71,6.55,2.16,32.22,1.7107903788034642,0.0,,,,,,,
2024-10-11,30.29,135.82,-105.53,0.92,-5.63,32.22,1.795615493373522,0.0,54.26,53.56,51.02,20.1134375,36.116,16.0025625,-76.69543750000001
