Date,rate_005380_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,Max_Divergence,Expected_Return
2018-07-16,-18.84,33.8,-52.64,46.15,-4.21,5.87,3.16
2018-08-13,-20.09,34.86,-54.95,44.03,-2.12,5.87,3.29
2018-09-12,-16.65,38.02,-54.67,44.28,0.25,5.87,3.27
2018-10-17,-22.56,33.58,-56.14,42.93,-1.35,5.87,3.35
2018-11-14,-31.66,28.51,-60.17,39.22,-3.71,5.87,3.57
2018-12-14,-21.92,23.7,-45.62,52.61,13.39,5.87,2.78
2019-01-16,-14.53,23.83,-38.36,59.3,6.69,5.87,2.39
2019-02-20,-20.13,31.95,-52.08,46.67,-12.63,5.87,3.13
2019-03-21,-16.72,34.52,-51.24,47.44,0.77,5.87,3.09
2019-04-18,-10.98,36.81,-47.79,50.62,3.18,5.87,2.9
2019-05-21,-15.03,34.87,-49.9,48.67,-1.95,5.87,3.01
2019-06-20,-7.04,39.11,-46.15,52.13,3.46,5.87,2.81
2019-07-19,-10.48,39.47,-49.95,48.63,-3.5,5.87,3.02
2019-08-19,-14.16,36.95,-51.11,47.56,-1.07,5.87,3.08
2019-09-19,-13.5,40.81,-54.31,44.62,-2.94,5.87,3.25
2019-10-21,-17.4,40.09,-57.49,41.69,-2.93,5.87,3.42
2019-11-18,-15.03,45.41,-60.44,38.97,-2.72,5.87,3.58
2019-12-17,-17.18,48.64,-65.82,34.02,-4.95,5.87,3.87
2020-01-17,-18.91,54.14,-73.05,27.37,-6.65,5.87,4.26
2020-02-20,-11.7,56.15,-67.85,32.16,4.79,5.87,3.98
2020-03-19,-51.05,10.9,-61.95,37.59,5.43,5.87,3.66
2020-04-20,-36.9,30.17,-67.07,32.87,-4.72,5.87,3.94
2020-05-21,-36.87,36.05,-72.92,27.49,-5.38,5.87,4.26
2020-06-19,-35.3,42.83,-78.13,22.69,-4.8,5.87,4.54
2020-07-20,-24.79,49.09,-73.88,26.61,3.92,5.87,4.31
2020-08-18,-7.26,55.35,-62.61,36.98,10.37,5.87,3.7
2020-09-16,4.85,55.07,-50.22,48.38,11.4,5.87,3.03
2020-10-20,-2.7,56.79,-59.49,39.85,-8.53,5.87,3.53
2020-11-17,4.33,64.37,-60.04,39.34,-0.51,5.87,3.56
2020-12-16,7.79,68.34,-60.55,38.87,-0.47,5.87,3.59
2021-01-19,40.81,71.86,-31.05,66.02,27.15,5.87,1.99
2021-02-19,31.61,76.61,-45.0,53.18,-12.84,5.87,2.75
2021-03-22,25.49,77.89,-52.4,46.37,-6.81,5.87,3.15
2021-04-20,25.34,85.69,-60.35,39.06,-7.31,5.87,3.58
2021-05-20,23.17,86.58,-63.41,36.24,-2.82,5.87,3.74
2021-06-18,27.75,86.6,-58.85,40.44,4.2,5.87,3.5
2021-07-19,24.25,89.91,-65.66,34.17,-6.27,5.87,3.86
2021-08-17,17.67,97.9,-80.23,20.76,-13.41,5.87,4.65
2021-09-15,16.02,99.08,-83.06,18.16,-2.6,5.87,4.8
2021-10-20,15.72,100.56,-84.84,16.52,-1.64,5.87,4.9
2021-11-17,14.76,106.91,-92.15,9.79,-6.73,5.87,5.3
2021-12-16,15.76,105.61,-89.85,11.91,2.12,5.87,5.17
2022-01-19,11.79,98.57,-86.78,14.73,2.82,5.87,5.01
2022-02-22,4.41,88.31,-83.9,17.38,2.65,5.87,4.85
2022-03-24,1.18,96.91,-95.73,6.5,-10.88,5.87,5.49
2022-04-22,2.87,85.78,-82.91,18.3,11.8,5.87,4.8
2022-05-24,4.97,71.39,-66.42,33.47,15.17,5.87,3.91
2022-06-27,4.72,69.32,-64.6,35.15,1.68,5.87,3.81
2022-07-26,10.82,69.25,-58.43,40.82,5.67,5.87,3.47
2022-08-24,7.01,78.7,-71.69,28.62,-12.2,5.87,4.19
2022-09-26,4.41,57.75,-53.34,45.51,16.89,5.87,3.2
2022-10-26,-5.82,64.36,-70.18,30.01,-15.5,5.87,4.11
2022-11-23,-3.25,72.78,-76.03,24.63,-5.38,5.87,4.42
2022-12-22,-6.67,63.11,-69.78,30.38,5.75,5.87,4.09
2023-01-27,0.39,73.47,-73.08,27.34,-3.04,5.87,4.27
2023-02-27,0.12,69.66,-69.54,30.6,3.26,5.87,4.07
2023-03-28,1.84,68.4,-66.56,33.34,2.74,5.87,3.91
2023-04-26,12.81,71.69,-58.88,40.41,7.07,5.87,3.5
2023-05-26,14.54,77.98,-63.44,36.21,-4.2,5.87,3.74
2023-06-28,14.69,85.26,-70.57,29.65,-6.56,5.87,4.13
2023-07-27,10.98,90.93,-79.95,21.02,-8.63,5.87,4.64
2023-08-25,5.81,85.16,-79.35,21.57,0.55,5.87,4.6
2023-09-25,8.72,82.17,-73.45,27.0,5.43,5.87,4.29
2023-10-30,-0.23,74.14,-74.37,26.15,-0.85,5.87,4.33
2023-11-28,6.21,90.24,-84.03,17.26,-8.89,5.87,4.86
2023-12-27,12.33,98.81,-86.48,15.01,-2.25,5.87,4.99
2024-01-29,10.89,104.49,-93.6,8.46,-6.55,5.87,5.37
2024-02-29,36.98,110.97,-73.99,26.5,18.04,5.87,4.31
2024-04-01,25.78,115.81,-90.03,11.74,-14.76,5.87,5.18
2024-04-30,36.86,107.43,-70.57,29.65,17.91,5.87,4.13
2024-06-03,43.06,117.01,-73.95,26.54,-3.11,5.87,4.31
2024-07-03,47.98,126.1,-78.12,22.7,-3.84,5.87,4.54
2024-08-01,37.34,122.06,-84.72,16.63,-6.07,5.87,4.89
2024-08-30,38.26,130.53,-92.27,9.68,-6.95,5.87,5.3
2024-09-23,35.09,133.1,-98.01,4.4,-7.36,5.87,5.61
