Date,Close,shares,invested_amount,rate,Close_vs,shares_vs,invested_amount_vs,rate_vs
2020-04-02,29.920000076293945,22743.03122047396,64000,963.2367122683384,215.83560180664065,325.712737695108,64000,9.844382432050201
2020-04-03,28.690000534057617,22743.03122047396,64000,919.5274654085732,212.64617919921875,325.712737695108,64000,8.221201855284471
2020-04-06,34.04999923706055,22743.03122047396,64000,1110.0003057899726,227.11045837402344,325.712737695108,64000,15.582451806553193
2020-04-07,35.040000915527344,22743.03122047396,64000,1145.1809918551162,227.23171997070312,325.712737695108,64000,15.644165004415415
2020-04-08,37.93000030517578,22743.03122047396,64000,1247.8799705206245,234.94406127929688,325.712737695108,64000,19.56917719451094
2020-04-09,38.060001373291016,22743.03122047396,64000,1252.4996866938116,238.4319305419922,325.712737695108,64000,21.344245079315808
2020-04-13,37.77999877929688,22743.03122047396,64000,1242.549518354714,236.119140625,325.712737695108,64000,20.167205804976472
2020-04-14,41.400001525878906,22743.03122047396,64000,1371.189886298021,243.32794189453125,325.712737695108,64000,23.835953300287404
2020-04-15,39.61000061035156,22743.03122047396,64000,1307.580438319091,238.03091430664065,325.712737695108,64000,21.14015742950871
2020-04-16,38.790000915527344,22743.03122047396,64000,1278.440940412581,239.23394775390625,325.712737695108,64000,21.75241261333317
2020-04-17,38.959999084472656,22743.03122047396,64000,1284.4819930121853,245.8365478515625,325.712737695108,64000,25.112648478510685
2020-04-20,39.0099983215332,22743.03122047396,64000,1286.2587652144787,241.4068298339844,325.712737695108,64000,22.858249130506465
2020-04-21,35.5099983215332,22743.03122047396,64000,1161.8828132275119,234.03013610839844,325.712737695108,64000,19.104056773476874
2020-04-22,38.2400016784668,22743.03122047396,64000,1258.8961750692922,239.17800903320312,325.712737695108,64000,21.72394393542165
2020-04-23,39.47999954223633,22743.03122047396,64000,1302.960722145904,239.13136291503903,325.712737695108,64000,21.70020450596842
2020-04-24,37.72999954223633,22743.03122047396,64000,1240.7727461524203,242.6005401611328,325.712737695108,64000,23.465759534679
2020-04-27,37.209999084472656,22743.03122047396,64000,1222.2940170187019,246.1070251464844,325.712737695108,64000,25.250301447594097
2020-04-28,43.0,22743.03122047396,64000,1428.0474101255943,244.96929931640625,325.712737695108,64000,24.67128301812347
2020-04-29,48.9900016784668,22743.03122047396,64000,1640.9080276006907,251.2828521728516,325.712737695108,64000,27.884415182897826
