Date,rate_007660_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,Max_Divergence,Volatility_Adjustment,Expected_Return,sma60_ta,sma120_ta,sma240_ta,Mean_Relative_Divergence_240,Percentile_90_Relative_Divergence_240,Difference_Percentile_vs_Mean,Rolling_Divergence_480
2018-09-12,-15.84,38.02,-53.86,20.53,19.07,32.13,2.4177724089768047,0.0,,,,,,,
2018-11-14,3.21,28.51,-25.3,46.93,7.69,32.13,2.0150548653211975,0.0,,,,,,,
2019-01-16,8.49,23.83,-15.34,56.13,14.58,32.13,3.921807879385562,0.0,,,,,,,
2019-03-21,-13.19,34.52,-47.71,26.22,-11.49,32.13,3.437975295258557,0.0,,,,,,,
2019-05-21,-23.8,34.87,-58.67,16.09,-9.44,32.13,3.027373923394418,0.0,,,,,,,
2019-07-19,-14.91,39.47,-54.38,20.05,-1.92,32.13,2.7223845402034343,0.0,,,,,,,
2019-09-19,-21.98,40.81,-62.79,12.28,2.55,32.13,2.5924050134248597,0.0,,,,,,,
2019-11-18,-30.75,45.41,-76.16,1.04,-10.93,32.13,2.5311774293585656,0.0,,,,,,,
2020-01-17,-27.35,54.14,-81.49,0.39,0.37,32.13,2.5355967142606004,0.0,,,,,,,
2020-03-19,-53.09,10.9,-63.99,18.65,18.65,32.13,2.488752319383546,0.0,,,,,,,
2020-05-21,-37.88,36.05,-73.93,10.24,0.48,32.13,2.412198175680397,0.0,,,,,,,
2020-07-20,-26.74,49.09,-75.83,10.05,6.54,32.13,2.3874968112787194,0.0,,,,,,,
2020-09-16,-13.13,55.07,-68.2,16.41,7.78,32.13,2.3379241204507077,0.0,,,,,,,
2020-11-17,-32.99,64.37,-97.36,0.28,-1.98,32.13,2.6501558827391083,0.0,,,,,,,
2021-01-19,-35.59,71.86,-107.45,0.2,-0.09,32.13,2.339524041294157,0.0,,,,,,,
2021-03-22,-39.64,77.89,-117.53,1.42,0.08,32.13,2.4758504801253354,0.0,,,,,,,
2021-05-20,-35.14,86.58,-121.72,3.92,1.12,32.13,2.609986605792635,0.0,,,,,,,
2021-07-19,-34.64,89.91,-124.55,3.27,-8.09,32.13,2.395869191049914,0.0,,,,,,,
2021-09-15,-19.54,99.08,-118.62,9.11,9.09,32.13,2.498207467805604,0.0,,,,,,,
2021-11-17,-14.47,106.91,-121.38,7.45,3.98,32.13,2.4207774973212164,0.0,,,,,,,
2022-01-19,22.27,98.57,-76.3,34.63,21.33,32.13,2.4193312782248797,0.0,,,,,,,
2022-03-24,27.66,96.91,-69.25,38.88,-5.9,32.13,3.085672734323872,0.0,,,,,,,
2022-05-24,24.58,71.39,-46.81,52.41,-1.39,32.13,3.3525096305848696,0.0,,,,,,,
2022-07-26,21.36,69.25,-47.89,51.75,-0.18,32.13,3.2749914546274908,0.0,,,,,,,
2022-09-26,-5.98,57.75,-63.73,42.2,2.43,32.13,2.752797321691424,0.0,,,,,,,
2022-11-23,5.93,72.78,-66.85,40.32,-2.7,32.13,2.3465467299809943,0.0,,,,,,,
2023-01-27,15.01,73.47,-58.46,45.38,-1.66,32.13,2.0088933300024983,0.0,,,,,,,
2023-03-28,74.75,68.4,6.35,84.46,14.21,32.13,1.7653178497339852,-2.5624035500000013,,,,,,,
2023-05-26,120.57,77.98,42.59,100.0,28.22,42.59,1.8486634943658418,-0.0,,,,,,,
2023-07-27,474.42,90.93,383.49,88.56,-11.2,450.3,1.8264658152491586,-1.008160963333333,,,,,,,
2023-09-25,310.12,82.17,227.95,61.93,-13.16,450.3,1.693720422817062,-0.6039345487499999,,,,,,,
2023-11-28,345.35,90.24,255.11,66.58,13.61,450.3,1.5498965680722334,1.4147953175000003,,,,,,,
2024-01-29,321.59,104.49,217.1,60.07,-2.84,450.3,1.4511567761063657,3.93189379,,,,,,,
2024-04-01,472.48,115.81,356.67,83.97,21.36,450.3,1.3991861629289952,2.50186020875,,,,,,,
2024-06-03,550.12,117.01,433.11,90.46,7.89,492.88,1.4279790444222893,2.1754745700000018,,,,,,,
2024-08-01,496.25,122.06,374.19,73.78,-23.48,554.66,1.4106814121524172,8.1916141625,,,,,,,
2024-10-07,408.64,131.04,277.6,59.75,-8.06,554.66,1.3792715857906745,15.003123770833334,,,,,,,
2024-10-11,394.45,135.82,258.63,57.0,1.07,554.66,1.3769288405781366,16.208511374999997,41181.67,44419.17,37675.83,69.06675,95.10000000000001,26.03325000000001,188.4710625
