Date,price,Open,High,Low,Close,Volume,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,ppo_histogram,stock_ticker,rate_vs,shares_vs,Close_vs
2020-03-02,204.7123565673828,196.2274240688523,204.88099237298914,195.8191607379971,204.7123565673828,1625400,102600.57677574159,0,39.68613548279495,102560.89064025879,501.0,60.31340121209623,64000,Buy all cash Monthly invest,29.734338702190087,203.3118,218.4822,210.898,203.3509,195.2263,227.2205047607422,-1.5836,APD,34.75476924860479,328.0,262.6529235839844
2020-03-03,201.79234313964844,205.1028840252061,210.54354221239603,199.29834247971218,201.79234313964844,1607800,101137.65004844667,0,39.68613548279495,101097.96391296387,501.0,58.027578200697924,64000,,27.03939760961299,201.8687,217.7877,210.8916,203.4674,195.3988,227.2205047607422,-1.4922,APD,31.041857833504704,328.0,255.40821838378903
2020-03-04,210.52578735351562,205.39577550878803,210.73880314638075,203.9490720275099,210.52578735351562,1213900,105513.10559959413,0,39.68613548279495,105473.41946411133,501.0,64.86422749936582,64000,,36.52306958302829,202.1669,217.3488,211.0081,203.6379,195.5985,227.2205047607422,-1.0932,APD,36.46664249384406,328.0,265.9931640625
2020-03-05,207.68563842773438,204.57922930595203,208.3335428239885,203.3899216353296,207.68563842773438,1548200,104090.19098777772,0,39.68613548279495,104050.50485229492,501.0,62.640923418402686,64000,,33.96802449142953,203.926,216.6263,211.0542,203.7531,195.7895,227.2205047607422,-0.8698,APD,31.9001092144251,328.0,257.0828552246094
2020-03-06,203.87811279296875,200.7894442471742,205.49343879859714,200.08828915776402,203.87811279296875,2175000,102182.62064476014,0,39.68613548279495,102142.93450927734,501.0,59.660344757437734,64000,,30.741063310619438,205.7188,215.6789,211.0546,203.825,195.9661,227.2205047607422,-0.7963,APD,29.690359611153628,328.0,252.77114868164065
2020-03-09,182.07997131347656,190.81343016091753,190.81343016091753,181.71608791627264,182.07997131347656,2393700,91261.75176353456,0,39.68613548279495,91222.06562805176,501.0,42.59648713052275,64000,,22.674701180457674,201.1924,213.6921,210.7111,203.7666,196.0474,227.2205047607422,-1.3762,APD,19.694357413887985,328.0,233.26675415039065
2020-03-10,190.44949340820312,187.20994457501578,190.44949340820312,181.60953527225448,190.44949340820312,1962500,95454.88233299257,0,39.68613548279495,95415.19619750977,501.0,49.14825364530089,64000,,29.768415512736397,198.9238,212.0444,210.5072,203.7315,196.1617,227.2205047607422,-1.4091,APD,25.82970249140264,328.0,245.2381591796875
2020-03-11,184.4319305419922,186.38452764686198,189.16254898788762,180.57110276644588,184.4319305419922,1470600,92440.08333702089,0,39.68613548279495,92400.39720153809,501.0,44.43763021409512,64000,,28.019912902486226,193.705,210.0647,210.1602,203.6459,196.2419,227.2205047607422,-1.5399,APD,19.5981307216883,328.0,233.07899475097656
2020-03-12,166.618896484375,175.64523170369236,182.98523605653097,158.40910141935345,166.618896484375,2288700,83515.75327415467,0,39.68613548279495,83476.06713867188,501.0,30.493364490866682,64000,,23.71791460164836,185.4917,207.1194,209.5408,203.4071,196.2408,227.2205047607422,-2.111,APD,8.044913978219048,328.0,210.5361328125
2020-03-13,183.15390014648438,174.9795996762824,183.29591068470097,167.45321720811722,183.15390014648438,2180400,91799.79010887147,0,39.68613548279495,91760.10397338867,501.0,43.43717204511168,64000,,35.715843228744845,181.3468,204.9662,209.1426,203.3113,196.3066,227.2205047607422,-1.8163,APD,18.125967902779607,328.0,230.20648193359372
2020-03-16,160.06883239746094,151.01585768626398,169.69869270942388,148.60173290232737,160.06883239746094,1809000,80234.17116661073,0,39.68613548279495,80194.48503112793,501.0,25.365892447829275,64000,,31.98979164378389,176.9446,201.6086,208.3423,203.0312,196.2799,227.2205047607422,-2.289,APD,4.276456184029609,328.0,203.18304443359372
2020-03-17,182.0355987548828,164.50657404293617,182.62136852862457,161.16939408856646,182.0355987548828,2284700,91239.52111167909,0,39.68613548279495,91199.83497619629,501.0,42.561751736998566,64000,,41.44544708158975,175.2618,199.3614,207.945,202.9345,196.3402,227.2205047607422,-1.7134,APD,11.094005889534976,328.0,216.48558044433597
2020-03-18,178.90255737304688,169.26381246225426,187.74250318830448,162.26994941506138,178.90255737304688,2582200,89669.86737937928,0,39.68613548279495,89630.18124389648,501.0,40.10916778028013,64000,,43.372584122494516,174.156,196.9539,207.4961,202.8101,196.3873,227.2205047607422,-1.3382,APD,5.029174918770818,328.0,204.6517639160156
2020-03-19,169.5567169189453,177.06535916102854,181.8226044401024,167.37336217946427,169.5567169189453,1818200,84987.6013118744,0,39.68613548279495,84947.9151763916,501.0,32.79312704980375,64000,,41.881229457026976,174.7435,194.0978,206.863,202.5884,196.3903,227.2205047607422,-1.3216,APD,5.119692916512508,328.0,204.8283843994141
2020-03-20,167.87921142578125,169.49455059701168,172.0506857502254,161.79064927929522,167.87921142578125,2155600,84147.1710597992,0,39.68613548279495,84107.4849243164,501.0,31.47995478093626,64000,,37.55995209707238,171.6886,191.1769,206.1999,202.369,196.3868,227.2205047607422,-1.2707,APD,0.5460433193445358,328.0,195.90419006347656
2020-03-23,156.85592651367188,165.4473747677507,172.72524581296219,154.35305502112618,156.85592651367188,2162800,78624.50531883241,0,39.68613548279495,78584.81918334961,501.0,22.850789560675633,64000,,35.610759004754826,171.046,188.1237,205.3543,202.0433,196.3402,227.2205047607422,-1.531,APD,-2.536393623709676,328.0,189.88967895507807
2020-03-24,172.55657958984375,164.6929265969162,178.14811846575836,159.11027184267127,172.55657958984375,2161600,86490.53250999452,0,39.68613548279495,86450.84637451172,501.0,35.14145704686644,64000,,38.36107946094306,169.1502,186.3011,204.7553,201.888,196.3562,227.2205047607422,-1.0216,APD,6.744270057320612,328.0,207.998291015625
2020-03-25,169.6543426513672,171.61582446286695,181.60958343389663,168.3851588943574,169.6543426513672,2165300,85036.51180381776,0,39.68613548279495,84996.82566833496,501.0,32.86954969346525,64000,,38.3464831044463,167.3006,184.3321,204.1165,201.7528,196.3583,227.2205047607422,-0.707,APD,8.111619681954396,328.0,210.66629028320312
2020-03-26,178.69837951660156,171.2784997659309,179.99420170095078,168.615863686162,178.69837951660156,1512800,89567.57427330018,0,39.68613548279495,89527.88813781738,501.0,39.94933480203153,64000,,42.52435143551766,169.1289,183.3225,203.6309,201.6903,196.3958,227.2205047607422,-0.0992,APD,14.60047370874884,328.0,223.3274688720703
2020-03-27,171.4471435546875,173.34649017187343,176.75466126279,169.82293384506286,171.4471435546875,1173100,85934.70505638124,0,39.68613548279495,85895.01892089844,501.0,34.27297665059568,64000,,46.544749572155325,169.8425,182.1492,203.0123,201.5449,196.404,227.2205047607422,0.0764,APD,11.084473151803031,328.0,216.46697998046875
2020-03-30,183.3047637939453,176.15114951325853,185.13310528489575,174.93521655998683,183.3047637939453,1281800,91875.3727962494,0,39.68613548279495,91835.6866607666,501.0,43.5552699941397,64000,,47.729711347026196,175.1322,181.0788,202.6482,201.4977,196.45,227.2205047607422,0.6593,APD,14.671934051156054,328.0,223.46690368652344
2020-03-31,178.31993103027344,181.08035351497674,183.92118710965832,176.4081804045528,178.31993103027344,2372800,89377.97158164979,0,39.68613548279495,89338.28544616699,501.0,39.6530805963278,64000,,48.045037980016396,176.2849,179.9052,202.2771,201.4547,196.4729,227.2205047607422,0.8605,APD,12.97111064875127,328.0,220.14822387695312
2020-04-01,169.09170532226562,171.52159568497436,176.34563511108956,168.4306275982909,169.09170532226562,1566500,85749.5577507782,0,20.063152389533343,85729.49459838867,507.0,31.92239653965876,65000,Buy all cash Monthly invest,50.836904915356186,176.1724,177.8335,201.7537,201.3054,196.456,227.2205047607422,0.6561,APD,7.758247751910896,333.0,210.22933959960935
2020-04-02,173.7549591064453,167.61770604398572,177.98940363410108,166.56355575906773,173.7549591064453,1963500,88113.8274193573,0,20.063152389533343,88093.76426696777,507.0,35.55973449131893,65000,,46.54103787787834,175.1837,176.1369,201.2938,201.1735,196.464,227.2205047607422,0.7051,APD,10.277565543189436,333.0,215.1469268798828
2020-04-03,166.69757080078125,172.76335509622254,174.1927073041454,165.49155402338928,166.69757080078125,1943700,84535.73154838562,0,20.063152389533343,84515.6683959961,507.0,30.05497161290096,65000,,52.76575599342311,174.2338,174.2779,200.6981,200.9634,196.4424,227.2205047607422,0.4852,APD,8.648829510850199,333.0,211.96771240234372
