Date,rate_MSFT_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,Max_Divergence,Expected_Return
2020-12-30 00:00:00,101.33,39.34,61.99,78.92,3.22,79.7,16.8
2021-01-29 00:00:00,109.81,38.35,71.46,90.19,11.27,79.7,7.82
2021-03-01 00:00:00,112.5,44.93,67.57,85.56,-4.63,79.7,11.51
2021-03-29 00:00:00,110.98,47.22,63.76,81.03,-4.53,79.7,15.12
2021-04-27 00:00:00,133.93,54.87,79.06,99.24,18.21,79.7,0.61
2021-05-25 00:00:00,123.82,54.75,69.07,87.35,-11.89,79.7,10.08
2021-06-23 00:00:00,134.86,56.44,78.42,98.48,11.13,79.7,1.21
2021-07-22 00:00:00,152.18,60.21,91.97,100.0,1.52,91.97,0.0
2021-08-19 00:00:00,160.33,61.35,98.98,100.0,0.0,98.98,0.0
2021-09-17 00:00:00,161.81,61.92,99.89,95.89,-4.11,104.36,4.29
2021-10-15 00:00:00,164.4,62.6,101.8,97.64,1.75,104.36,2.46
2021-11-12 00:00:00,191.2,69.85,121.35,100.0,2.36,121.35,0.0
2021-12-13 00:00:00,192.11,69.14,122.97,97.46,-2.54,126.29,3.21
2022-01-11 00:00:00,169.82,69.7,100.12,79.96,-17.5,126.29,25.31
2022-02-09 00:00:00,165.39,64.84,100.55,80.29,0.33,126.29,24.89
2022-03-10 00:00:00,142.51,52.94,89.57,71.89,-8.4,126.29,35.5
2022-04-07 00:00:00,154.75,60.83,93.92,75.22,3.33,126.29,31.29
2022-05-06 00:00:00,131.3,47.1,84.2,67.77,-7.45,126.29,40.7
2022-06-06 00:00:00,125.37,46.91,78.46,63.38,-4.39,126.29,46.25
2022-07-06 00:00:00,122.39,36.53,85.86,69.05,5.67,126.29,39.09
2022-08-03 00:00:00,135.02,47.32,87.7,70.45,1.4,126.29,37.32
2022-08-31 00:00:00,117.56,40.41,77.15,62.38,-8.07,126.29,47.51
2022-09-29 00:00:00,96.9,28.67,68.23,55.55,-6.83,126.29,56.14
2022-10-27 00:00:00,87.34,34.55,52.79,43.73,-11.82,126.29,71.06
2022-11-25 00:00:00,103.81,42.2,61.61,50.48,6.75,126.29,62.54
2022-12-23 00:00:00,95.91,35.05,60.86,49.9,-0.58,126.29,63.27
2023-01-25 00:00:00,96.82,40.92,55.9,46.11,-3.79,126.29,68.06
2023-02-23 00:00:00,107.65,40.73,66.92,54.54,8.43,126.29,57.41
2023-03-23 00:00:00,125.52,38.36,87.16,70.04,15.5,126.29,37.84
2023-04-21 00:00:00,131.22,44.15,87.07,69.97,-0.07,126.29,37.92
2023-05-19 00:00:00,156.54,46.12,110.42,87.85,17.88,126.29,15.34
2023-06-20 00:00:00,171.29,52.92,118.37,93.94,6.09,126.29,7.65
2023-07-19 00:00:00,183.77,58.17,125.6,97.11,3.17,129.46,3.74
2023-08-16 00:00:00,155.07,52.44,102.63,79.94,-17.17,129.46,25.97
2023-09-14 00:00:00,168.55,55.81,112.74,87.5,7.56,129.46,16.18
2023-10-12 00:00:00,161.58,49.72,111.86,86.84,-0.66,129.46,17.04
2023-11-09 00:00:00,183.73,49.46,134.27,99.39,12.55,135.12,0.82
2023-12-08 00:00:00,193.15,58.18,134.97,93.72,-5.67,144.3,9.06
2024-01-09 00:00:00,193.17,62.32,130.85,90.95,-2.77,144.3,13.06
2024-02-07 00:00:00,221.63,70.33,151.3,100.0,9.05,151.3,0.0
2024-03-07 00:00:00,216.47,75.62,140.85,90.97,-9.03,155.26,14.02
2024-04-05 00:00:00,227.73,76.34,151.39,97.57,6.6,155.26,3.77
2024-05-03 00:00:00,211.93,73.5,138.43,89.45,-8.12,155.26,16.38
2024-06-03 00:00:00,215.87,78.61,137.26,88.72,-0.73,155.26,17.51
2024-07-02 00:00:00,249.27,85.22,164.05,100.0,11.28,164.05,0.0
2024-07-31 00:00:00,218.17,85.73,132.44,79.18,-20.82,168.4,35.06
2024-08-28 00:00:00,211.01,87.86,123.15,73.8,-5.38,168.4,44.12
2024-08-30 00:00:00,215.96,89.66,126.3,75.63,-2.16,168.4,41.04
