Rank,Ticker,Sector,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,1m,3m,6m,1y,2y,3y,5y,7y,max,Max_Divergence,Min_Divergence,Volatility_Adjustment,Expected_Return,Dynamic_Expected_Return,Total_Return,Total_Return_Rank,Divergence_Rank,Expected_Return_Rank,Dynamic_Expected_Return_Rank,Period_Penalty,Alpha_Penalty,Penalty_Raw,Penalty,Penalty_N,Penalty_Rank,IsCrypto,Penalty_N2,Average_Rank,Delta_Previous_Rank,Delta_Previous_Dynamic_Expected_Return
16,AMD,Technology,267.2,59.0,9.7,7.5,-9.5,32.2,30.0,-32.5,10.4,-31.2,15.3,267.2,461.9,-13.4,1.4,347.7,157.2,360.7,21.0,21.0,24.0,32.0,,,,41,,,,,67.0,6,-67.60000000000002
17,ENPH,Technology,207.9,6.1,0.3,9.5,-8.2,-26.0,-74.7,-109.6,-146.0,-118.1,-9.4,207.9,4450.0,-68.0,1.8,12852.3,25714.9,301.9,25.0,28.0,4.0,2.0,,,,55,,,,,67.2,-1,0.0
18,TSM,Technology,179.2,100.0,5.7,16.4,7.3,26.2,25.8,85.7,72.7,5.6,147.1,179.2,179.2,-4.4,1.5,85.2,12.1,272.7,29.0,31.0,45.0,68.0,,,,20,,,,,68.2,0,0.0
19,MSTR,Technology,325.6,29.4,-0.2,-18.8,-35.3,-50.4,-64.2,129.8,501.1,124.2,470.2,325.6,1238.4,-55.1,1.4,1899.5,573.1,419.6,17.0,19.0,14.0,17.0,,,,54,,,,,70.8,-2,0.0
20,ABBV,Healthcare,82.8,66.2,-6.6,-6.8,-11.7,0.7,12.0,-7.0,-11.3,24.4,27.7,82.8,135.4,-20.3,1.2,126.1,39.6,176.3,47.0,49.0,38.0,56.0,,,,24,,,,,73.2,0,0.0
21,PANW,Technology,25.6,37.5,4.1,-5.0,-21.2,-23.1,-21.8,-43.0,8.7,5.8,23.5,25.6,149.3,-48.7,1.2,202.6,113.3,119.7,65.0,71.0,29.0,37.0,,,,27,,,,,74.8,-8,0.0
22,AVAV,Industrials,235.9,100.0,38.8,27.5,8.6,71.7,88.1,119.9,99.4,81.8,11.0,235.9,235.9,-47.6,1.6,71.4,10.2,330.0,22.0,22.0,47.0,71.0,,,,30,,,,,76.6,-7,0.0
23,CBRE,Real Estate,38.4,86.0,12.8,4.5,4.5,12.1,4.4,13.2,5.4,10.9,27.1,38.4,48.3,-22.2,1.3,28.0,6.0,131.7,59.0,62.0,56.0,79.0,,,,10,,,,,77.0,0,0.0
24,LINK-USD,Unknown,483.2,12.1,1.1,7.0,-27.4,-41.0,-82.4,-95.8,-88.1,-110.7,110.2,483.2,4327.3,-44.9,1.7,8135.4,8602.5,558.6,13.0,13.0,5.0,5.0,,,,70,,,,,78.2,3,-927.7000000000007
25,AAPL,Technology,136.2,56.7,-0.7,-7.9,-1.3,-3.7,-22.1,-24.1,-31.3,-29.6,89.8,136.2,249.7,-12.4,1.2,286.7,127.8,229.8,38.0,39.0,25.0,36.0,,,,45,,,,,79.8,-6,1.5999999999999943
26,UNI-USD,Unknown,7191.5,2.4,0.0,4.0,-11.3,12.8,-42.1,244.7,28621.6,26219.5,7191.5,7191.5,306014.5,-128.8,1.5,404401.8,427822.4,7223.5,2.0,2.0,1.0,1.0,,,,80,,,,,81.4,-15,0.0
27,APH,Technology,95.5,100.0,18.9,16.8,18.0,26.6,43.8,65.3,61.0,62.4,78.1,95.5,95.5,-14.4,1.4,27.2,2.2,189.0,44.0,44.0,57.0,89.0,,,,20,,,,,84.6,0,0.0
28,TER,Technology,114.0,62.5,7.3,14.7,29.6,52.3,15.6,45.2,32.3,-37.4,72.1,114.0,188.9,-11.0,1.7,56.3,22.4,207.6,39.0,40.0,48.0,64.0,,,,35,,,,,86.0,0,0.0
29,ADA-USD,Unknown,185.3,10.5,1.0,4.1,-43.0,-61.1,-89.7,-89.1,-91.1,-68.1,212.0,185.3,2088.7,-39.0,1.7,5499.9,4839.6,260.7,31.0,30.0,7.0,7.0,,,,70,,,,,86.4,1,-518.8999999999996
30,KLAC,Technology,138.2,100.0,11.9,23.8,31.1,36.6,66.4,61.9,56.9,41.1,135.6,138.2,138.2,-15.2,1.6,40.6,6.9,231.7,37.0,38.0,52.0,78.0,,,,30,,,,,86.6,-12,0.0
31,LRCX,Technology,211.3,98.0,3.1,30.0,32.7,71.3,122.1,67.9,99.2,37.8,211.2,211.3,215.9,-14.7,1.8,55.3,11.7,304.8,24.0,27.0,49.0,69.0,,,,40,,,,,87.6,-7,0.5999999999999996
32,CAT,Industrials,95.8,100.0,5.2,7.5,14.3,37.8,35.0,23.3,18.4,74.7,46.0,95.8,95.8,-32.0,1.4,36.1,7.4,189.1,43.0,43.0,54.0,75.0,,,,30,,,,,88.0,-12,-1.0
33,TMDX,Healthcare,160.6,72.0,9.8,-0.9,15.4,-4.3,40.2,25.8,26.6,152.1,160.6,160.6,250.8,-71.8,1.4,185.7,42.6,234.4,36.0,34.0,32.0,52.0,,,,48,,,,,89.2,-7,0.0
34,GS,Financial Services,94.0,100.0,4.2,7.5,22.6,20.2,31.9,42.4,55.0,73.2,136.6,94.0,94.0,-41.0,1.2,31.9,3.6,187.5,45.0,45.0,55.0,84.0,,,,30,,,,,92.6,-11,-0.2999999999999998
35,MKR-USD,Unknown,212.6,19.9,-1.4,-26.0,-31.5,-44.7,-52.4,-64.3,-5.2,-53.1,220.3,212.6,1279.9,-52.2,1.2,1974.0,1723.1,288.5,27.0,25.0,13.0,12.0,,,,75,,,,,92.8,-2,11.0
36,FCX,Basic Materials,98.6,65.1,5.3,21.1,35.1,25.9,19.0,1.5,-38.4,-7.0,140.8,98.6,175.3,-44.2,1.4,89.0,47.3,191.9,42.0,42.0,44.0,50.0,,,,48,,,,,93.6,0,0.0
37,RGTI,Technology,359.8,37.2,-1.1,1.4,-62.3,29.2,-3.1,493.3,1227.9,359.8,359.8,359.8,1062.0,-56.0,1.8,498.8,58.9,404.0,18.0,16.0,20.0,43.0,,,,66,,,,,94.0,0,0.0
38,RKLB,Industrials,522.0,98.6,2.6,59.6,22.3,63.8,112.4,579.8,579.4,530.0,522.0,522.0,530.3,-43.3,1.6,123.5,5.9,571.1,12.0,12.0,39.0,80.0,,,,50,,,,,94.6,-10,0.20000000000000018
39,WMT,Consumer Defensive,75.8,99.0,9.1,1.4,7.2,13.8,14.7,59.2,44.9,81.3,22.2,75.8,77.0,-37.6,1.2,36.3,3.2,169.1,50.0,52.0,53.0,85.0,,,,30,,,,,95.0,-14,-0.7999999999999998
40,IONQ,Technology,227.6,60.4,-5.5,-0.1,-24.8,5.1,-14.0,91.9,227.4,231.4,227.6,227.6,395.0,-27.2,1.8,212.6,48.9,275.4,28.0,23.0,28.0,48.0,,,,61,,,,,96.0,-9,5.299999999999997
41,QBTS,Technology,723.4,58.8,-1.4,17.2,-42.7,51.9,211.7,1797.2,2538.6,711.9,723.4,723.4,1276.4,-67.4,1.6,386.3,15.1,772.1,9.0,8.0,22.0,67.0,,,,63,,,,,97.6,0,0.0
42,LUNR,Industrials,332.1,54.8,2.1,54.6,36.6,77.4,41.1,842.4,252.4,332.1,332.1,332.1,640.8,-42.0,1.7,165.2,30.9,367.9,19.0,18.0,35.0,60.0,,,,60,,,,,98.4,-10,0.0
43,BAESY,Industrials,83.5,85.3,-0.2,20.8,4.5,0.1,56.4,27.2,45.5,115.6,143.5,83.5,105.9,-46.2,1.2,48.8,8.1,177.0,46.0,48.0,51.0,74.0,,,,40,,,,,98.6,0,0.0
44,ETH-USD,Unknown,90.5,19.3,2.1,8.6,-26.5,-33.5,-39.4,-56.4,-58.3,-64.9,245.3,90.5,744.1,-66.1,1.4,766.7,707.9,165.9,52.0,46.0,18.0,16.0,,,,70,,,,,99.6,-4,-101.5
45,WELL,Real Estate,31.2,71.9,1.5,-3.2,4.9,5.9,17.0,37.4,35.2,42.6,15.9,31.2,59.0,-39.8,1.4,16.4,-1.1,124.7,63.0,67.0,62.0,94.5,,,,25,,,,,101.2,0,0.0
46,PWR,Industrials,63.0,71.4,-9.3,-9.7,-5.7,-2.1,-6.1,-4.4,-17.4,58.0,85.4,63.0,104.2,-39.8,1.2,95.0,30.5,157.0,54.0,56.0,41.0,61.0,,,,50,,,,,104.6,-12,0.0
47,MS,Financial Services,74.8,100.0,4.3,5.4,13.4,17.8,21.1,37.0,16.6,29.1,65.4,74.8,74.8,-16.8,1.4,26.3,3.9,168.3,51.0,53.0,58.0,82.5,,,,40,,,,,105.4,0,0.0
48,GOOG,Communication Services,82.7,95.1,-2.5,5.0,21.6,60.3,26.3,49.7,67.4,43.2,69.4,82.7,88.1,-21.0,2.0,18.0,3.1,176.0,48.0,50.0,60.5,86.0,,,,40,,,,,106.1,-19,0.20000000000000018
49,MU,Technology,269.5,96.4,3.1,39.3,56.9,139.4,199.2,180.7,230.7,91.6,185.8,269.5,281.4,-45.6,2.9,25.1,0.5,363.0,20.0,20.0,59.0,91.0,,,,50,,,,,106.2,0,0.0
50,ASTS,Technology,601.0,100.0,10.0,45.9,-1.1,70.0,273.2,916.3,793.5,463.1,601.0,601.0,601.0,-99.0,1.5,144.2,3.9,673.5,10.0,10.0,36.0,82.5,,,,63,,,,,107.2,0,0.0
51,VTR,Real Estate,17.7,80.6,11.2,-1.4,8.3,9.5,13.6,18.8,31.0,32.7,20.5,17.7,35.1,-54.7,1.4,0.5,-3.6,111.1,68.0,74.0,69.5,101.0,,,,25,,,,,107.7,0,0.0
52,VST,Utilities,70.4,43.7,-0.3,-1.0,-24.5,-33.5,-49.8,69.4,136.9,153.2,52.7,70.4,263.0,-78.8,1.3,278.9,49.3,158.9,53.0,54.0,26.0,47.0,,,,64,,,,,109.4,-15,0.0
53,LDOS,Technology,17.8,34.8,-2.2,1.9,-7.6,-10.0,-18.5,1.4,-7.3,3.9,23.5,17.8,99.8,-25.9,1.6,108.0,40.8,111.3,67.0,73.0,40.0,54.0,,,,52,,,,,109.6,0,0.0
54,HOOD,Financial Services,212.4,59.0,-0.7,-18.3,-37.5,-22.3,19.8,237.3,535.5,212.4,212.4,212.4,399.5,-57.3,1.2,255.8,28.9,253.3,33.0,26.0,27.0,62.0,,,,71,,,,,113.0,-13,0.0
55,ASML,Technology,30.7,44.8,12.2,20.3,19.7,38.1,25.8,-1.3,-24.2,-27.6,41.6,30.7,131.4,-51.1,2.2,11.5,31.2,124.2,64.0,68.0,64.0,59.0,,,,51,,,,,113.8,-19,-8.000000000000004
56,NVDL,Unknown,87.5,20.3,-3.4,-5.1,-27.3,-21.7,-41.9,26.6,85.2,87.5,87.5,87.5,430.0,0.0,1.8,812.2,425.0,155.8,55.0,47.0,17.0,21.0,,,,84,,,,,116.2,-13,0.0
57,GE,Industrials,40.0,94.7,2.4,6.7,-0.6,2.1,27.6,62.8,81.9,94.8,302.9,40.0,46.8,-82.5,1.1,18.0,-2.4,133.4,58.0,61.0,60.5,97.0,,,,43,,,,,117.7,-22,0.30000000000000027
58,AMAT,Technology,78.5,99.2,24.9,19.9,35.4,52.5,73.1,58.6,65.8,7.7,86.1,78.5,79.5,-45.3,2.0,0.5,1.0,172.0,49.0,51.0,69.5,90.0,,,,50,,,,,119.9,-19,-0.3999999999999999
59,ROK,Industrials,35.5,54.8,8.4,2.8,15.3,8.5,27.7,-8.6,-38.7,22.3,33.7,35.5,82.6,-21.7,1.6,8.8,21.3,129.0,61.0,64.0,66.0,65.0,,,,56,,,,,120.2,0,0.0
60,PLTR,Technology,141.0,69.3,-0.2,-6.3,-13.7,-11.5,28.4,237.9,390.7,14.5,141.0,141.0,223.6,-45.7,1.5,132.8,8.9,193.9,41.0,37.0,37.0,73.0,,,,71,,,,,123.2,-16,0.5
61,ACHR,Industrials,49.4,44.9,1.1,10.2,-37.6,-29.4,-30.8,50.5,173.8,52.4,49.4,49.4,178.5,-55.6,1.7,83.9,9.3,96.4,75.0,58.0,46.0,72.0,,,,59,,,,,123.6,0,0.0
62,CEG,Utilities,40.9,30.7,7.1,-7.5,-22.2,-12.5,-38.2,23.3,-9.7,40.9,40.9,40.9,133.4,0.0,1.6,197.3,90.2,86.9,83.0,60.0,31.0,38.0,,,,77,,,,,127.0,0,0.0
63,WM,Industrials,-13.4,19.9,-1.2,3.6,-1.6,-14.3,-24.8,-34.1,-49.0,-4.6,-40.5,-13.4,58.1,-31.2,1.6,0.0,141.7,80.7,90.0,92.5,135.0,35.0,,,,50,,,,,127.5,-25,0.0
64,HIMS,Healthcare,30.5,27.9,-3.5,-22.7,-49.6,-50.5,-1.8,85.8,77.7,-9.5,30.5,30.5,325.5,-83.8,1.4,368.3,57.4,103.2,72.0,69.0,23.0,46.0,,,,79,,,,,130.2,-16,0.0
65,PL,Industrials,444.0,100.0,1.0,52.5,94.2,318.6,504.8,1107.1,529.5,444.0,444.0,444.0,444.0,-67.4,2.1,7.4,-5.9,486.3,15.0,14.0,68.0,102.0,,,,70,,,,,130.2,0,0.0
66,IBM,Technology,31.6,78.9,-3.6,-5.5,-7.3,-4.2,26.0,55.7,65.7,87.2,81.6,31.6,57.1,-63.8,1.3,8.5,-7.6,125.1,62.0,66.0,67.0,106.0,,,,51,,,,,132.4,0,0.0
67,META,Communication Services,2.4,46.9,-5.9,-7.8,-17.6,-30.3,-21.9,-1.8,126.7,15.3,36.3,2.4,91.0,-76.0,1.2,89.1,10.4,95.8,76.0,82.0,43.0,70.0,,,,67,,,,,135.2,-22,2.6000000000000005
68,DHR,Healthcare,-38.1,11.0,-0.7,1.1,10.3,0.3,-30.3,-46.1,-68.7,-60.4,-59.9,-38.1,119.9,-57.6,2.4,0.0,231.0,55.9,114.0,118.0,135.0,28.0,,,,54,,,,,138.6,0,0.0
69,HAL,Energy,-30.5,20.9,0.2,17.7,45.3,34.3,-23.6,-57.3,-93.1,-36.5,25.4,-30.5,147.0,-77.3,2.2,0.0,225.4,62.9,104.0,107.5,135.0,29.0,,,,59,,,,,139.9,0,0.0
70,COF,Financial Services,10.5,53.8,-26.5,-5.7,6.7,-8.3,-3.1,-2.7,16.5,7.3,29.3,10.5,52.4,-38.3,1.3,15.0,2.4,104.5,70.0,78.0,63.0,88.0,,,,64,,,,,141.4,0,0.0
71,ETN,Industrials,-9.4,10.0,-4.9,-6.9,-17.5,-21.1,-31.7,-25.6,-24.9,-0.2,11.4,-9.4,75.2,-18.8,1.5,0.0,288.8,84.6,87.5,90.0,135.0,25.0,,,,70,,,,,142.5,-22,0.0
72,GOOGL,Communication Services,47.4,86.4,1.6,5.3,21.9,61.5,34.2,44.8,62.4,23.5,36.8,47.4,61.4,-41.9,2.7,-12.1,-2.7,140.8,57.0,59.0,202.0,98.0,,,,40,,,,,142.8,0,0.0
73,ROST,Consumer Cyclical,11.6,79.3,4.2,3.1,19.1,35.8,13.1,5.0,20.9,22.9,-18.5,11.6,31.1,-63.1,1.3,-11.6,-3.1,105.1,69.0,76.0,201.0,99.0,,,,35,,,,,143.8,0,0.0
74,LIN,Basic Materials,-36.2,14.7,-1.2,1.6,-5.4,-14.5,-25.1,-42.5,-57.0,-17.7,-36.8,-36.2,52.6,-51.5,2.0,0.0,154.7,57.2,111.0,116.0,135.0,33.0,,,,60,,,,,145.6,-27,13.0
75,SYM,Industrials,27.1,35.3,-4.9,9.4,-17.4,12.5,72.2,-40.2,3.6,27.1,27.1,27.1,161.5,-46.1,2.1,9.8,60.3,77.9,94.0,70.0,65.0,42.0,,,,86,,,,,148.6,0,0.0
76,KTOS,Industrials,157.1,100.0,13.5,65.4,49.7,97.5,138.0,268.8,329.0,39.0,31.2,157.1,157.1,-77.2,2.3,-31.6,-12.0,250.6,34.0,35.0,207.0,110.0,,,,50,,,,,149.2,0,0.0
77,FSLR,Technology,-20.0,22.3,-16.5,-7.7,-1.9,31.4,-7.8,-23.3,-76.1,-8.2,25.3,-20.0,116.8,-59.2,1.7,0.0,74.3,74.1,96.0,100.0,135.0,41.0,,,,67,,,,,149.6,-27,0.0
78,SO,Utilities,-40.7,4.7,-0.5,-0.3,-14.5,-16.2,-19.6,-32.2,-49.8,-13.5,-26.6,-40.7,43.2,-44.8,1.6,0.0,167.4,53.2,116.0,121.0,135.0,30.0,,,,65,,,,,151.4,-32,-71.69999999999999
79,SPGI,Financial Services,-13.4,18.9,0.2,6.3,8.5,-0.9,-1.6,-24.1,-29.3,-17.5,-33.9,-13.4,79.0,-35.0,2.2,0.0,37.0,80.5,91.0,92.5,135.0,57.0,,,,67,,,,,153.5,0,0.0
80,TJX,Consumer Cyclical,-11.1,53.3,-5.1,-2.3,3.6,17.1,11.8,10.5,5.7,24.7,-16.3,-11.1,19.2,-45.7,1.4,0.0,-17.7,82.5,89.0,91.0,135.0,115.0,,,,45,,,,,154.0,0,0.0
81,QQQ,Unknown,-8.0,5.0,1.9,-1.5,-0.9,-3.7,-4.7,-9.0,-3.9,-21.8,-19.6,-8.0,43.4,-10.7,1.8,0.0,44.2,86.0,85.0,87.0,135.0,51.0,,,,75,,,,,156.8,-27,0.0
82,NVO,Healthcare,-53.0,12.8,-0.7,11.6,7.6,-19.4,-25.4,-67.4,-73.6,-21.4,-39.3,-53.0,120.1,-78.5,2.2,0.0,359.5,40.5,134.0,140.0,135.0,23.0,,,,67,,,,,158.0,0,0.0
83,NTRA,Healthcare,37.6,48.4,0.9,-2.5,31.0,44.8,11.9,125.0,198.0,-48.1,70.2,37.6,166.6,-83.6,1.4,-33.1,-43.2,131.6,60.0,63.0,209.0,129.5,,,,40,,,,,158.2,-41,0.0
84,PLD,Real Estate,-22.6,18.2,5.0,2.2,5.9,6.7,5.6,-24.5,-40.8,-4.3,-24.5,-22.6,66.6,-42.5,1.9,0.0,7.3,70.8,98.5,102.0,135.0,76.0,,,,61,,,,,158.5,-33,-6.3999999999999995
85,ORCL,Technology,-13.7,15.7,-0.1,1.0,-41.1,-44.1,-10.6,1.6,-9.2,22.9,-14.1,-13.7,125.8,-39.7,1.4,0.0,33.0,79.8,92.0,94.0,135.0,58.0,,,,72,,,,,159.4,0,0.0
86,WDC,Technology,143.6,100.0,20.9,26.8,61.3,137.7,230.6,219.8,384.7,239.4,353.7,143.6,143.6,-87.4,2.3,-33.0,-11.6,237.1,35.0,36.0,208.0,109.0,,,,60,,,,,159.4,0,0.0
87,NFLX,Communication Services,-8.4,19.5,-1.2,-9.1,-30.4,-41.0,-26.0,-13.0,22.7,-19.8,-83.2,-8.4,149.8,-46.7,1.5,0.0,78.7,85.0,86.0,88.0,135.0,39.0,,,,82,,,,,159.4,-29,8.100000000000009
88,AXP,Financial Services,-3.9,40.9,-30.4,-8.3,3.8,1.8,-13.2,0.5,1.5,9.5,-19.1,-3.9,23.9,-23.1,1.4,0.0,4.6,89.7,78.0,84.0,135.0,81.0,,,,68,,,,,159.8,0,0.0
89,NEE,Utilities,-32.2,12.8,3.6,-1.2,-7.6,-0.9,-0.9,-14.4,-68.6,-44.4,-49.5,-32.2,79.0,-48.5,2.0,0.0,27.2,61.3,106.5,111.5,135.0,63.0,,,,65,,,,,160.8,-37,-19.400000000000002
90,SPOT,Communication Services,8.5,39.7,-8.3,-10.6,-23.9,-36.6,-14.9,57.4,176.6,-15.6,49.5,8.5,120.4,-65.1,1.4,90.2,-13.9,87.5,82.0,79.0,42.0,112.0,,,,79,,,,,164.4,-31,0.0
91,HD,Consumer Cyclical,-30.5,13.3,7.3,4.3,-5.7,-4.4,-20.7,-31.4,-40.9,-29.8,-42.5,-30.5,59.6,-44.3,1.9,0.0,15.7,63.1,103.0,107.5,135.0,66.0,,,,70,,,,,165.5,0,0.0
92,PM,Consumer Defensive,6.7,62.9,16.5,8.7,7.3,-9.4,20.3,27.9,-4.1,45.9,43.8,6.7,36.7,-44.1,1.7,-7.4,-6.5,100.1,73.0,80.0,200.0,104.0,,,,56,,,,,168.2,0,0.0
93,BAC,Financial Services,-8.9,42.8,-12.8,-6.9,-3.2,-2.8,-13.5,2.8,2.7,20.3,-32.3,-8.9,50.8,-53.5,1.1,0.0,-7.0,84.6,87.5,89.0,135.0,105.0,,,,64,,,,,168.3,0,0.0
94,INTU,Technology,-57.7,0.0,-1.3,-9.3,-11.9,-26.5,-19.8,-49.4,-51.9,-53.0,-75.5,-57.7,90.8,-57.7,2.1,0.0,355.3,36.2,138.5,146.0,135.0,24.0,,,,75,,,,,168.5,0,0.0
95,MSFT,Technology,-46.0,0.0,-1.0,-5.7,-14.8,-23.0,-19.2,-38.0,-32.6,-51.4,-65.7,-46.0,94.8,-46.0,1.8,0.0,77.6,47.5,125.0,130.0,135.0,40.0,,,,75,,,,,169.0,-39,-18.200000000000003
96,ADBE,Technology,-67.4,0.0,-2.4,-13.7,-12.9,-26.9,-25.0,-68.4,-62.8,-70.5,-88.9,-67.4,129.3,-67.4,2.3,0.0,2242.7,26.6,154.0,162.0,135.0,11.0,,,,75,,,,,169.6,-43,860.7999999999997
97,AMGN,Healthcare,-22.7,32.5,-1.1,-0.5,7.5,2.4,6.4,-24.6,-30.4,-2.5,-30.2,-22.7,26.3,-46.3,1.6,0.0,-2.1,70.8,98.5,103.0,135.0,96.0,,,,66,,,,,171.7,0,0.0
98,LOW,Consumer Cyclical,-38.3,14.3,9.2,7.4,11.3,11.9,-14.7,-23.4,-45.6,-48.8,-59.9,-38.3,81.1,-58.3,2.0,0.0,-12.5,56.0,113.0,119.0,135.0,111.0,,,,54,,,,,171.8,0,0.0
99,COP,Energy,-64.9,7.0,-0.7,0.2,5.5,-16.2,-41.3,-59.4,-95.3,-23.8,-87.6,-64.9,113.1,-78.2,2.0,0.0,466.9,29.0,149.0,155.0,135.0,19.0,,,,77,,,,,172.4,0,0.0
100,160580.KS,Unknown,-5.9,59.6,5.4,7.9,21.0,24.8,26.3,31.9,-4.6,31.1,10.3,-5.9,24.1,-50.1,2.0,0.0,-14.1,87.6,81.0,86.0,135.0,113.0,,,,68,,,,,173.6,0,0.0
101,315960.KS,Unknown,69.1,100.0,1.7,25.6,47.4,66.3,110.5,122.2,99.7,60.8,69.1,69.1,69.1,-57.8,2.5,-28.5,-6.2,152.9,56.0,55.0,206.0,103.0,,,,70,,,,,174.6,0,0.0
102,VOO,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,94.0,77.0,83.0,135.0,92.5,,,,80,,,,,176.0,-36,0.0
103,JPM,Financial Services,-18.1,48.5,-13.6,-4.9,-2.6,-4.5,-7.4,15.5,31.1,32.5,-28.6,-18.1,28.9,-62.3,1.2,0.0,-24.4,75.4,95.0,99.0,135.0,120.0,,,,64,,,,,177.8,0,0.0
104,JOBY,Industrials,35.3,69.2,-0.2,4.8,-13.7,13.6,66.4,117.3,170.5,43.6,35.3,35.3,82.8,-71.3,1.8,-27.0,-15.0,87.8,80.0,65.0,205.0,114.0,,,,63,,,,,178.6,-44,-0.09999999999999964
105,GM,Consumer Cyclical,-5.2,49.5,-9.8,-3.3,35.6,32.1,24.4,26.4,20.9,-25.5,-13.5,-5.2,48.8,-58.1,1.7,0.0,-25.2,88.3,79.0,85.0,135.0,123.0,,,,70,,,,,179.0,0,0.0
