Rank,Ticker,Sector,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,1m,3m,6m,1y,2y,3y,5y,7y,max,Max_Divergence,Min_Divergence,Volatility_Adjustment,Expected_Return,Dynamic_Expected_Return,Total_Return,Total_Return_Rank,Divergence_Rank,Expected_Return_Rank,Dynamic_Expected_Return_Rank,Penalty,Average_Rank
44,ADSK,Industrials,-1.5,12.6,-0.8,1.1,3.9,0.8,6.7,3.5,-0.5,-19.7,-23.9,20.3,216.3,-32.9,1.4,0.0,184.0,82.8,76.0,80.0,95.0,24.0,43,102.8
45,COIN,Financials,89.7,72.4,21.8,29.7,25.0,8.2,18.3,78.1,153.1,101.0,101.0,101.0,142.0,-47.4,1.4,80.9,3.8,109.3,60.0,36.0,49.0,65.0,50,105.0
46,V,Financials,7.6,37.4,3.4,0.2,1.9,8.2,16.6,16.2,18.6,17.3,16.9,63.8,60.3,-23.9,1.6,1.3,12.8,91.9,71.0,73.0,64.0,60.0,40,105.6
47,NEE,Energy,-15.2,15.2,4.5,1.9,3.7,0.6,-6.0,-8.6,-23.9,-35.8,-41.1,-30.5,95.3,-35.0,1.7,0.0,183.5,69.2,83.0,87.0,95.0,25.0,44,107.0
48,GOOG,Technology,16.0,21.3,6.5,-3.6,-3.4,-6.6,-9.4,-8.2,-2.4,-1.0,15.5,55.6,91.3,-4.4,1.4,163.8,127.0,100.3,66.0,69.5,31.0,31.0,65,110.7
49,RKLB,Consumer Cyclical,156.0,89.9,9.8,16.3,21.0,15.2,192.6,294.0,337.2,252.0,252.0,252.0,179.5,-54.1,2.2,22.1,-4.0,187.3,29.0,27.0,59.0,72.0,60,111.8
50,UPRO,Unknown,295.8,97.1,9.7,4.0,5.9,11.5,21.3,55.1,61.2,80.0,80.0,80.0,304.5,2.6,1.6,173.0,31.7,347.9,15.0,15.0,30.0,50.0,80,112.0
51,HOOD,Financials,151.1,91.6,10.7,38.2,30.8,49.8,122.4,282.9,355.4,311.8,311.8,311.8,170.5,-59.9,1.2,32.9,-3.0,165.3,36.0,29.0,57.0,70.0,60,112.4
52,JST-USD,Unknown,49.9,9.1,3.2,30.1,26.5,26.1,26.4,24.3,12.7,8.5,8.5,8.5,927.0,-37.5,1.6,446.0,751.1,73.8,80.0,47.0,16.0,14.0,80,114.2
53,DE,Industrials,106.8,60.2,2.6,10.9,10.7,13.3,9.9,-5.6,-9.7,10.7,35.5,105.2,187.8,-15.7,1.4,158.7,83.4,227.9,27.0,32.0,33.0,41.0,80,114.8
54,PDD,Consumer Cyclical,31.0,19.3,4.3,17.4,2.9,-5.6,-17.4,-17.4,6.2,-6.4,45.6,45.6,467.7,-73.7,1.4,377.3,207.6,121.3,55.5,58.0,20.0,23.0,80,115.9
55,BLK,Financials,-1.4,36.8,5.0,1.3,1.6,-1.0,4.2,7.1,6.1,-0.3,6.1,9.0,35.5,-22.9,1.6,0.0,-5.2,82.9,75.0,79.0,95.0,73.0,38,117.0
56,PLTR,Technology,136.8,78.0,5.4,12.7,27.4,57.1,210.2,406.4,737.3,665.9,665.9,665.9,191.1,-56.2,2.5,8.8,-11.7,174.5,31.0,30.0,62.0,81.0,60,117.0
57,MU,Technology,34.6,29.2,-11.4,4.0,-8.3,-11.4,-21.3,-12.6,-10.6,-16.5,-18.0,35.3,234.5,-47.7,1.8,242.9,114.0,155.7,38.5,56.5,24.5,35.5,80,118.1
58,mu,Technology,34.6,29.2,-11.4,4.0,-8.3,-11.4,-21.3,-12.6,-10.6,-16.5,-18.0,35.3,234.5,-47.7,1.8,242.9,114.0,155.7,38.5,56.5,24.5,35.5,80,118.1
59,CEG,Utilities,206.5,83.9,1.9,3.3,22.8,29.5,45.1,118.4,187.9,199.1,199.1,199.1,246.0,0.0,1.3,124.9,23.6,245.3,26.0,22.0,40.0,54.0,80,119.2
60,CRDO,Technology,286.0,75.0,-13.9,-3.3,22.0,67.7,126.9,237.3,286.5,293.0,293.0,293.0,389.2,-22.8,1.4,96.0,11.5,333.0,16.0,16.0,46.0,61.0,80,120.0
61,SQ,Financials,1.7,5.2,-0.8,-5.8,-7.4,6.2,4.3,-1.7,-17.1,-56.7,-71.0,7.6,859.2,-45.8,1.8,56.0,1421.5,121.3,55.5,74.0,52.0,10.0,80,120.3
62,SEDG,Energy,-137.4,2.4,0.0,57.1,32.5,48.9,2.8,-53.9,-84.5,-111.9,-134.4,-159.0,911.4,-163.7,3.9,0.0,11022.8,-52.1,131.0,133.0,95.0,3.0,51,124.0
63,SPOT,Communication Services,65.3,95.1,7.3,3.5,8.2,24.5,57.5,145.5,262.7,205.6,214.3,213.5,73.1,-84.9,1.9,-19.3,-12.2,130.3,50.0,43.0,130.0,83.0,50,127.8
64,VRTX,Healthcare,98.9,96.4,-2.5,7.9,18.3,11.8,7.8,8.9,16.2,33.1,40.9,77.5,105.6,-81.4,1.1,70.2,9.3,174.4,32.0,34.0,51.0,63.0,80,128.6
65,META,Technology,46.3,94.3,-3.9,10.8,-0.5,3.3,9.2,35.2,111.9,92.9,105.2,148.1,55.3,-102.8,1.3,-2.4,-10.3,130.6,48.0,50.0,126.0,79.0,53,129.4
66,MDB,Technology,-3.1,3.1,-1.8,-25.8,-17.7,-17.3,-37.4,-46.9,-53.3,-62.8,-3.7,8.4,501.9,-19.5,1.7,0.0,5006.5,93.2,70.0,81.0,95.0,4.0,80,130.8
67,HIMS,Consumer Defensive,220.0,83.6,28.4,61.8,38.9,67.7,128.9,284.2,430.4,421.8,408.9,408.9,279.6,-83.7,1.6,18.0,-7.7,253.5,23.0,20.0,61.0,78.0,80,132.0
68,BKNG,Consumer Cyclical,20.1,91.9,3.3,2.2,5.6,6.8,18.0,30.8,55.7,73.2,70.4,68.5,27.5,-64.3,1.6,-16.2,-7.6,104.4,64.0,67.0,129.0,77.0,50,132.8
69,SRPT,Healthcare,-13.2,6.6,-1.3,-9.1,-10.7,-19.3,-27.3,-36.0,-35.9,-48.9,-72.8,-16.6,446.5,-45.9,1.5,0.0,913.0,108.7,61.0,85.0,95.0,13.0,80,133.4
70,IVV,Unknown,66.2,56.4,1.8,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.3,144.2,-34.7,1.4,81.3,14.4,108.1,62.0,42.0,48.0,58.0,80,133.6
71,UNH,Healthcare,-61.0,2.2,2.2,-34.4,-35.5,-40.1,-45.3,-56.7,-68.1,-69.8,-76.3,-71.4,52.3,-63.5,2.0,0.0,554.9,23.3,107.0,110.0,95.0,16.0,65,133.8
72,PG,Consumer Defensive,-24.1,10.6,0.1,-9.9,-4.4,-4.7,-7.3,-14.0,-20.2,-24.1,-27.4,-38.2,29.7,-30.5,1.5,0.0,69.5,60.2,85.0,91.0,95.0,42.0,65,136.0
73,SO,Utilities,-12.7,28.9,-4.7,-12.6,-3.7,-0.1,-0.8,1.0,-5.2,0.4,-2.4,-15.0,44.9,-36.1,1.4,0.0,36.8,71.6,81.0,84.0,95.0,49.0,67,138.6
74,EQIX,Real Estate,-1.3,30.9,-3.0,-3.5,-3.1,-5.0,-2.4,-9.7,-11.9,-21.9,-21.5,-13.7,48.8,-23.7,1.5,0.0,11.0,83.0,74.0,77.5,95.0,62.0,65,139.1
75,HON,Industrials,-35.2,14.3,0.8,0.7,3.9,0.6,1.3,-6.2,-15.2,-22.5,-34.9,-45.8,41.4,-48.0,2.2,0.0,-18.8,49.2,92.0,97.0,95.0,87.0,51,142.6
76,XLM-USD,Coin,-8.4,5.5,0.0,2.7,-15.0,73.1,110.3,118.8,112.5,91.7,77.7,75.9,1330.4,-87.0,1.3,0.0,332.5,42.5,95.5,82.0,95.0,21.0,80,142.9
77,UBS,Financial Services,25.0,78.7,-1.9,1.0,3.6,4.6,3.0,7.7,21.4,52.5,58.2,25.5,49.6,-66.0,1.2,19.6,-2.3,124.8,54.0,63.0,60.0,69.0,80,143.0
78,ALB,Basic Materials,-80.3,0.0,-0.8,-5.3,-18.2,-27.8,-38.3,-65.3,-86.5,-98.4,-112.3,-147.0,308.0,-80.3,2.6,0.0,13493.2,4.0,119.5,122.0,95.0,2.0,75,143.1
79,UBER,Consumer Cyclical,21.0,88.6,4.9,9.4,16.7,27.3,26.1,36.6,86.9,75.4,72.6,72.6,32.1,-65.1,1.3,-4.5,-7.2,78.1,79.0,65.0,127.0,76.0,60,144.6
80,HSY,Consumer Defensive,-10.0,21.7,0.0,0.3,7.5,0.8,-8.4,-29.1,-40.2,-41.6,-43.7,-57.6,92.3,-38.3,1.9,0.0,122.4,65.4,84.0,83.0,95.0,32.0,80,145.2
81,PM,Communication Services,-0.0,69.8,-1.1,-6.8,6.5,21.8,35.3,50.1,47.6,62.7,63.7,35.3,25.8,-59.7,2.6,0.0,-12.6,84.3,72.5,75.5,95.0,84.0,65,147.2
82,TEVA,Healthcare,-26.9,66.2,-8.6,7.2,3.4,-1.3,-7.2,18.3,21.9,16.5,-14.4,-93.3,21.9,-122.3,1.3,0.0,-36.6,57.4,88.0,93.0,95.0,92.0,56,148.0
83,RGTI,Technology,454.0,48.0,-41.1,37.9,517.9,715.7,686.7,815.1,596.5,471.7,471.7,471.7,1046.6,-93.8,2.4,-41.9,-38.5,495.6,12.0,12.0,134.0,93.0,80,148.8
84,CRM,Technology,-47.2,14.1,-2.8,3.1,-2.9,-8.1,-3.2,-6.9,2.8,-13.1,-19.7,3.6,83.2,-68.6,1.5,0.0,-208.0,37.2,97.0,100.0,95.0,110.0,52,154.4
85,VOO,Index,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,84.3,72.5,75.5,95.0,68.0,80,155.8
86,TSLL,Unknown,75.6,57.2,5.9,1.6,68.9,89.6,137.6,118.0,101.2,101.2,101.2,101.2,194.4,-83.1,1.8,-27.7,-11.5,125.2,53.0,40.0,131.0,80.0,80,156.8
87,COHR,Technology,24.0,39.8,-16.0,-7.0,-14.4,-5.4,5.6,42.3,35.9,17.5,9.5,21.6,178.9,-78.4,2.3,-31.2,-28.3,145.9,40.0,64.0,132.0,90.0,80,163.2
88,DUK,Utilities,-24.9,15.1,-5.4,-13.3,-3.0,0.2,0.7,1.8,-8.3,-11.6,-23.8,-47.3,26.4,-34.0,1.4,0.0,-12.1,59.4,86.0,92.0,95.0,82.0,76,163.4
89,AEP,Utilities,-38.5,6.1,-2.9,-12.8,-4.8,1.7,1.6,2.4,-9.9,-14.0,-29.6,-48.0,38.3,-43.5,2.1,0.0,-93.7,45.8,94.0,98.0,95.0,100.0,66,163.4
90,APD,Basic Materials,-53.9,9.9,-2.9,-6.3,-9.4,-11.5,-9.1,-17.8,-26.7,-36.2,-43.0,-50.1,43.9,-64.6,2.1,0.0,-100.5,30.4,101.0,105.0,95.0,101.0,65,165.6
91,AMT,Real Estate,-30.4,4.2,-1.8,-13.7,0.3,4.6,-0.7,-7.3,-22.4,-39.9,-54.1,-59.8,81.5,-35.3,2.1,0.0,-101.2,54.0,91.0,96.0,95.0,102.0,69,166.2
92,TSLY,Unknown,-18.4,53.9,4.8,-0.4,19.3,22.0,27.1,12.3,10.6,10.6,10.6,10.6,21.5,-65.1,2.1,0.0,-6.5,35.7,99.0,89.0,95.0,74.5,80,166.4
93,RTX,Industrials,-47.8,35.7,3.4,-2.9,2.8,7.6,10.4,18.7,11.6,22.9,6.4,-16.7,5.6,-77.5,2.0,0.0,-76.1,36.5,98.0,101.0,95.0,97.0,70,167.6
94,FOUR,Technology,16.0,57.3,-1.7,4.9,5.9,20.5,36.5,39.7,59.1,49.7,49.7,49.7,75.4,-63.8,1.6,-32.7,-16.7,98.9,67.0,69.5,133.0,86.0,80,168.3
95,KO,Consumer Defensive,-28.7,29.2,-3.1,-11.2,-1.9,6.5,2.9,-2.1,-11.3,-10.1,-22.0,-44.4,18.9,-48.3,2.0,0.0,-35.1,55.6,89.0,94.0,95.0,91.0,79,171.0
96,CVX,Energy,-62.1,10.9,-5.4,-8.5,-12.4,-11.3,-14.1,-25.7,-38.4,-22.0,-36.3,-62.0,43.4,-75.0,1.6,0.0,-12.9,22.2,108.0,111.0,95.0,85.0,75,171.8
97,PEGA,Technology,-18.1,25.2,-1.1,0.9,16.4,24.5,35.6,51.3,41.4,-10.3,-29.0,-19.4,185.1,-86.4,1.5,0.0,-119.8,97.9,68.0,88.0,95.0,104.0,80,171.8
98,SCHD,Unknown,-44.7,26.6,9.5,1.3,4.2,3.3,2.6,-3.1,-11.3,-14.5,-20.5,-34.5,9.3,-64.3,2.3,0.0,-60.9,58.7,87.0,99.0,95.0,96.0,80,174.6
99,VRSN,Technology,-63.4,9.7,2.2,6.9,6.1,4.7,-5.1,-26.4,-32.4,-51.2,-65.3,-64.1,101.2,-81.1,2.7,0.0,-24.8,55.0,90.0,112.5,95.0,89.0,80,175.1
100,NEM,Basic Materials,-59.2,11.1,-2.1,-15.5,5.3,14.9,7.5,5.7,-10.9,-33.9,-41.6,-55.3,88.6,-77.6,2.1,0.0,-155.8,25.1,103.0,107.0,95.0,107.5,73,177.0
101,BA,Industrials,-96.1,10.0,-0.4,9.3,13.2,20.7,13.6,-9.9,-15.8,-32.6,-70.3,-102.9,101.0,-118.0,1.9,0.0,-638.7,-11.8,124.0,128.0,95.0,119.0,61,178.0
102,PYPL,Financials,-117.0,3.9,-1.1,4.1,1.0,-8.4,-4.8,-10.9,-29.5,-67.7,-92.2,-106.7,215.9,-130.6,2.2,0.0,-1783.6,-32.0,129.0,132.0,95.0,125.0,57,178.2
103,RIVN,Consumer Cyclical,-22.2,44.7,7.0,21.0,21.8,30.9,27.2,-2.2,-30.1,-41.8,-41.8,-41.8,17.7,-54.5,2.3,0.0,-21.4,-13.8,125.0,90.0,95.0,88.0,81,178.2
104,SPG,Real Estate,-65.8,36.6,-6.9,-3.5,-7.8,-6.9,-3.4,4.1,7.7,25.4,-3.3,-56.5,13.3,-111.4,1.2,0.0,-109.9,18.5,112.0,116.0,95.0,103.0,74,179.8
105,UPS,Industrials,-79.1,0.0,-0.7,-7.2,-11.8,-16.6,-25.1,-45.0,-61.4,-74.2,-86.4,-118.3,50.0,-79.1,2.7,0.0,-84.1,5.2,118.0,121.0,95.0,98.0,75,181.0
106,329750,Unknown,-53.5,13.1,1.1,3.4,5.7,5.0,0.9,-9.2,-12.8,-20.7,-25.5,-25.5,43.1,-68.1,1.9,0.0,-166.7,23.9,106.0,104.0,95.0,109.0,80,184.6
107,AI,Technology,-52.5,30.0,0.0,1.3,-20.3,-13.9,-18.4,-35.8,-25.9,-47.6,-47.6,-47.6,48.8,-96.0,1.7,0.0,-84.8,-29.6,128.0,102.0,95.0,99.0,80,184.6
108,PSA,Real Estate,-54.1,15.4,-2.0,-5.7,0.0,-1.9,-3.6,-9.0,-20.5,-20.6,-28.2,-53.9,27.3,-68.9,1.9,0.0,-149.4,30.3,102.0,106.0,95.0,106.0,82,185.0
109,ENS,Energy,-53.3,26.4,-3.7,6.5,0.9,2.8,-4.9,-16.6,-15.2,-22.2,-39.0,-73.6,30.1,-83.2,1.5,0.0,-130.6,31.0,100.0,103.0,95.0,105.0,84,185.6
110,XOM,Energy,-63.4,33.9,-5.1,-9.3,-5.7,-5.7,-10.5,-19.1,-26.4,17.6,4.3,-35.7,9.6,-100.9,1.3,0.0,-38.7,20.9,109.0,112.5,95.0,94.0,85,185.9
111,SNOW,Technology,-29.9,41.8,-2.2,10.3,5.5,11.4,21.4,-1.8,-12.4,-39.0,-39.0,-39.0,43.3,-82.4,2.9,0.0,-58.0,6.6,117.0,95.0,95.0,95.0,91,190.4
112,MRK,Healthcare,-84.9,0.3,-6.9,-15.1,-13.9,-19.4,-31.9,-46.3,-54.4,-52.2,-66.3,-86.7,23.9,-85.2,1.7,0.0,-1103.0,-0.6,121.0,123.0,95.0,124.0,75,192.4
113,PGY,Technology,-75.7,8.5,4.8,58.8,43.8,27.2,15.1,-17.5,-48.6,-66.6,-66.6,-66.6,231.2,-104.2,2.3,0.0,-350.4,-29.3,127.0,120.0,95.0,113.0,80,193.6
114,005930,Unknown,-102.6,8.5,3.8,1.2,-6.1,-20.3,-32.7,-45.0,-49.6,-62.3,-71.8,-79.6,9.6,-113.0,1.6,0.0,-366.8,11.0,116.0,130.0,95.0,114.0,80,193.8
115,DIS,Communication Services,-86.0,12.6,0.0,-7.3,-6.5,-1.5,-6.8,-12.8,-25.3,-52.1,-74.7,-112.0,16.7,-100.8,1.8,0.0,-462.6,-10.6,123.0,124.0,95.0,116.0,80,194.8
116,CRSP,Healthcare,-112.1,1.3,1.3,6.9,-7.5,-12.4,-30.7,-45.0,-56.6,-84.4,-99.9,-92.6,499.7,-120.1,2.7,0.0,-711.7,4.0,119.5,131.0,95.0,120.0,80,197.1
117,SUI-USD,Unknown,-87.2,1.6,1.4,-11.7,27.6,-0.7,-53.2,-89.8,-93.1,-93.1,-93.1,-93.1,163.9,-91.2,2.2,0.0,-465.7,-64.4,133.0,126.0,95.0,117.0,80,197.6
118,PEP,Consumer Defensive,-66.3,0.0,-2.6,-15.2,-12.2,-14.3,-23.1,-38.3,-49.9,-54.7,-67.3,-93.3,23.3,-66.3,2.6,0.0,-761.2,18.0,113.0,117.0,95.0,122.0,85,198.8
119,TDOC,Healthcare,-153.9,1.7,-0.6,-2.7,-20.6,-20.8,-26.4,-60.3,-83.3,-112.5,-142.4,-180.2,450.6,-164.3,2.4,0.0,-5327.6,-68.5,134.0,134.0,95.0,129.0,75,199.2
120,LMT,Industrials,-59.3,4.9,-6.2,-10.0,1.8,-3.3,-9.9,-16.2,-25.3,-23.2,-34.9,-44.4,26.2,-63.7,1.6,0.0,-531.0,25.0,104.5,108.5,95.0,118.0,92,200.8
121,SRE,Utilities,-65.6,9.2,0.6,-3.0,1.5,-4.7,-6.2,-11.8,-23.9,-24.4,-38.9,-64.1,11.4,-73.4,1.7,0.0,-282.1,18.7,111.0,115.0,95.0,112.0,92,201.0
