Rank,Ticker,Sector,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,1m,3m,6m,1y,2y,3y,5y,7y,max,Max_Divergence,Min_Divergence,Volatility_Adjustment,Expected_Return,Dynamic_Expected_Return,Total_Return,Total_Return_Rank,Divergence_Rank,Penalty,Average_Rank,Delta_Previous_Rank,Delta_Previous_Dynamic_Expected_Return,Trend_State,Position_State,Momentum_State,Composite_State,DER_cap_monthly,DER_capped,F_trend,DER_capped_trend,Total_Return_Rank,Divergence_Rank,Penalty,Recent_Momentum_Rank,Recent_Weakness_Penalty,Coverage_Penalty,State_Adjustment,Durability_Adjustment,Average_Rank,Market_Cap,Market_Cap_B,Market_Cap_Rank,Market_Cap_Bucket,Market_Cap_Asset_Type,Market_Cap_Source
11,MU,Semiconductors,1587.8,94.2,5.2,65.6,71.0,125.8,335.5,477.2,600.4,757.3,926.8,1587.8,1687.4,-25.2,1.6,374.6,226.63782219625392,1734.5,8.0,8.0,27.33,68.48,44,219.77739676573609,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,8.0,8.0,27.33,3.0,0.0,0.0,12.0,0.0,68.48,,,,,,
12,ASTS,Satellite Communications,938.5,73.0,10.2,16.9,6.6,19.1,77.0,376.8,988.1,1023.6,,938.5,1284.2,-128.2,1.3,737.6,529.3512859457063,1020.5,21.0,20.0,30.5,69.55,8,-83.35138183397703,EARLY_UP,UPPER_RANGE,MOMENTUM_UP,S2_EARLY_BREAKOUT,,,,,21.0,20.0,30.5,44.0,0.0,11.0,-4.0,0.0,69.55,,,,,,
13,JBL,Electronic Manufacturing Services,646.2,93.9,5.7,9.3,22.0,35.4,49.3,97.0,111.7,221.7,394.9,646.2,640.2,-28.8,1.1,336.8,272.7727326926324,792.9,30.0,30.0,0.0,69.55,22,241.89490503222055,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,30.0,30.0,0.0,43.0,0.0,0.0,25.0,0.0,69.55,,,,,,
14,AAPL,Consumer Electronics,254.9,98.0,2.5,5.9,7.3,4.9,11.5,8.4,5.4,11.3,57.9,254.9,260.7,-12.6,1.2,201.0,210.32668275866925,401.6,65.0,66.0,0.0,70.05,13,-6.5098730181759095,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,65.0,66.0,0.0,110.0,0.0,0.0,12.0,-18.0,70.05,,,,,,
15,IONQ,Quantum Computing,387.5,57.9,8.7,61.4,52.0,33.0,30.4,186.7,240.4,394.0,,387.5,660.4,-66.8,1.4,450.2,258.53301581198355,451.2,57.0,53.0,10.0,73.15,8,-9.840211289672311,STRONG_UP,UPPER_RANGE,MOMENTUM_DOWN,S0_NEUTRAL,,,,,57.0,53.0,10.0,28.0,0.0,11.0,0.0,0.0,73.15,,,,,,
16,SMCI,Computer Hardware,666.9,19.0,1.7,27.8,14.6,1.4,-20.0,-36.2,-41.1,174.3,440.5,666.9,3831.2,-73.1,1.4,4693.0,4546.034265346909,813.6,29.0,29.0,27.33,73.78,3,3638.1103546702984,STRONG_UP,LOWER,MOMENTUM_DOWN,S0_NEUTRAL,,,,,29.0,29.0,27.33,126.0,10.0,0.0,0.0,0.0,73.78,,,,,,
17,VRT,Electrical Equipment & Parts,1497.3,84.8,-13.8,3.4,22.9,44.6,90.6,147.1,359.8,957.9,1339.5,1497.3,1741.3,-60.9,1.3,850.3,64.11965256480147,1598.7,9.0,9.0,11.67,76.07,0,-46.780347435198536,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,9.0,9.0,11.67,29.0,0.0,0.0,25.0,0.0,76.07,,,,,,
18,MPWR,Semiconductors,631.7,91.7,0.7,10.8,20.4,35.8,60.6,76.1,90.4,129.1,252.1,631.7,687.5,-5.3,1.4,338.1,104.07278031061956,778.4,31.0,31.0,0.0,77.45,7,31.645597772436517,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,31.0,31.0,0.0,40.0,0.0,0.0,25.0,0.0,77.45,,,,,,
19,TRGP,Oil & Gas Midstream,530.5,96.9,-3.1,0.1,8.4,27.0,36.8,43.0,86.0,188.1,477.5,530.5,551.7,-93.5,1.2,351.7,50.99865845591121,677.2,36.0,38.0,17.78,80.28,29,-14.501341544088788,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,36.0,38.0,17.78,66.0,0.0,0.0,0.0,0.0,80.28,,,,,,
20,AVGO,Semiconductors,1250.9,93.4,-2.9,7.1,13.4,9.4,22.1,69.0,139.9,340.4,625.1,1250.9,1338.0,-16.4,1.2,980.0,6.467053796385189,1397.6,13.0,14.0,0.0,82.3,-12,-137.6329462036148,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,13.0,14.0,0.0,77.0,0.0,0.0,25.0,0.0,82.3,,,,,,
21,RKLB,Aerospace & Defense,1437.4,92.9,-1.0,67.0,64.2,88.4,160.6,760.8,1310.1,1485.8,,1437.4,1518.3,-77.2,1.3,576.4,14.322619138852192,1503.0,11.0,10.0,27.0,82.75,24,-31.877380861147813,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,11.0,10.0,27.0,6.0,0.0,11.0,0.0,0.0,82.75,,,,,,
22,FIX,Engineering & Construction,2803.1,89.2,-8.3,5.2,21.0,47.7,117.4,241.6,422.2,961.0,1773.5,2803.1,3095.3,-40.0,1.1,1404.8,0.34404492647945023,2949.8,2.0,2.0,8.89,82.99,-12,-150.45595507352056,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,2.0,2.0,8.89,22.0,0.0,0.0,25.0,0.0,82.99,,,,,,
23,PL,Aerospace & Defense,820.9,98.8,2.1,18.5,41.9,104.8,358.4,893.4,1045.4,830.5,,820.9,814.8,-88.8,1.2,204.2,3.545682063261346,881.8,26.0,25.0,12.5,84.95,47,3.345682063261346,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,26.0,25.0,12.5,11.0,0.0,11.0,0.0,0.0,84.95,,,,,,
24,PWR,Construction & Engineering,1039.4,89.4,-8.1,4.1,17.7,33.1,51.4,85.1,120.3,235.6,565.5,1039.4,1124.7,-22.8,1.1,618.7,10.657067558396877,1186.1,17.0,17.0,8.89,87.99,-10,-173.11075689508743,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,17.0,17.0,8.89,45.0,0.0,0.0,25.0,0.0,87.99,,,,,,
25,HWM,Aerospace & Defense,737.0,93.7,-0.4,0.5,2.5,9.6,18.7,72.2,161.1,325.5,554.4,737.0,755.5,-54.6,1.1,546.0,64.63618497983269,866.8,27.0,27.0,5.0,90.05,-3,-11.99260649102365,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,27.0,27.0,5.0,108.0,0.0,0.0,25.0,0.0,90.05,,,,,,
26,ANET,Networking Equipment,700.4,78.0,4.4,-5.7,-2.7,-2.1,6.2,18.8,51.1,166.0,331.0,700.4,904.1,-19.6,1.3,763.2,729.6160857646082,847.1,28.0,28.0,11.25,90.2,-17,-5.238079418774873,STRONG_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,28.0,28.0,11.25,179.0,0.0,0.0,25.0,0.0,90.2,,,,,,
27,STX,Data Storage Devices,1591.9,96.8,2.0,43.3,67.1,122.1,279.0,502.6,674.4,811.7,1052.9,1591.9,1645.6,-36.7,1.3,383.8,35.66843692209568,1738.5,7.0,7.0,24.78,90.23,24,21.72563349465453,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,7.0,7.0,24.78,4.0,0.0,0.0,25.0,0.0,90.23,,,,,,
28,QBTS,Quantum Computing,885.8,49.4,11.2,48.5,34.9,14.3,37.9,714.7,1200.1,955.7,,885.8,1840.5,-110.7,1.5,1309.0,750.4976855285505,950.4,24.0,23.0,27.0,92.2,5,644.454785228129,EARLY_DOWN,MID_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,24.0,23.0,27.0,38.0,0.0,11.0,25.0,0.0,92.2,,,,,,
29,TSM,Semiconductors,550.0,95.4,0.8,2.6,5.5,15.3,38.9,71.3,128.1,180.4,271.6,550.0,577.1,-6.0,1.2,342.9,132.22031831370768,696.6,34.0,37.0,11.44,92.69,14,76.3744979285988,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,34.0,37.0,11.44,71.0,0.0,0.0,25.0,0.0,92.69,,,,,,
30,MRVL,Semiconductors,482.2,100.0,4.1,39.0,84.4,92.7,122.8,118.8,133.4,151.2,221.7,482.2,428.6,-14.2,2.2,98.9,23.4,628.9,42.0,42.0,15.89,94.99,33,-0.10000000000000142,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,42.0,42.0,15.89,8.0,0.0,0.0,12.0,0.0,94.99,,,,,,
31,CIEN,Communications Equipment,1269.7,99.3,6.2,17.3,55.1,106.4,305.8,559.7,726.3,798.6,873.7,1269.7,1279.0,-63.2,1.3,294.1,60.449387424041795,1416.4,12.0,13.0,27.33,95.53,28,51.449387424041795,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,12.0,13.0,27.33,10.0,0.0,0.0,25.0,0.0,95.53,,,,,,
32,GS,Investment Banking & Brokerage,198.1,93.8,6.6,2.7,2.9,6.6,17.1,41.9,75.4,99.1,160.1,198.1,212.9,-35.7,1.1,136.0,106.18817246705918,344.8,77.0,80.0,13.33,96.78,24,-3.036356884530065,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,77.0,80.0,13.33,112.0,0.0,0.0,-6.0,0.0,96.78,,,,,,
33,MS,Investment Banking & Brokerage,204.3,100.0,5.7,4.8,6.1,8.2,18.3,37.7,55.8,66.9,129.0,204.3,204.6,-20.8,1.1,131.0,18.8,351.0,75.0,78.0,8.89,98.19,43,-1.2635337577158126,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,75.0,78.0,8.89,95.0,0.0,0.0,-6.0,0.0,98.19,,,,,,
34,TSLA,Automobile Manufacturers,817.1,54.7,-0.8,0.0,-3.6,-8.6,-2.1,14.5,17.2,2.3,277.2,817.1,1535.1,-50.2,1.2,1409.6,390.62032611308973,963.8,23.0,26.0,25.48,98.28,-21,-669.4315692863531,EARLY_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,23.0,26.0,25.48,215.0,0.0,0.0,25.0,-12.0,98.28,,,,,,
35,TPL,Homebuilding,442.0,48.3,2.0,-17.2,-15.0,2.4,-1.6,-3.5,17.6,31.0,126.3,442.0,919.6,-5.5,1.4,983.8,919.7132998475528,588.7,46.0,46.0,28.33,106.28,1,677.1560596502036,STRONG_DOWN,MID_RANGE,MOMENTUM_UP,S4_BOTTOMING,,,,,46.0,46.0,28.33,283.0,4.0,0.0,-2.0,0.0,106.28,,,,,,
36,IRM,Data Storage & Management,236.3,76.2,2.1,4.9,12.5,22.3,18.1,8.8,20.5,56.0,145.1,236.3,320.0,-29.9,1.2,215.5,248.11809625334072,383.0,67.0,68.0,13.33,107.13,42,243.07756745020708,EARLY_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,67.0,68.0,13.33,73.0,0.0,0.0,25.0,0.0,107.13,,,,,,
37,CAT,Construction Machinery,480.5,90.0,-3.7,-0.3,8.1,22.7,59.5,85.7,112.8,176.5,274.0,480.5,533.7,-5.5,1.2,255.4,0.402354953242763,627.2,43.0,43.0,4.84,108.34,-16,-197.4380682724586,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,43.0,43.0,4.84,53.0,0.0,0.0,25.0,0.0,108.34,,,,,,
38,ASML,Semi-Conductors,399.3,99.6,8.7,6.1,4.6,19.4,51.5,60.4,57.9,64.6,129.9,399.3,399.8,-5.8,1.7,200.1,195.06486999109023,546.0,50.0,51.0,22.89,109.89,33,181.00533577550004,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,50.0,51.0,22.89,58.0,0.0,0.0,25.0,0.0,109.89,,,,,,
39,COHR,,622.9,92.1,-1.5,25.4,39.8,79.1,186.2,274.5,426.4,468.0,523.8,622.9,683.2,-81.6,1.6,146.5,1.2143869879129359,769.6,33.0,33.0,29.22,110.37,45,-3.585613012087064,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,33.0,33.0,29.22,14.0,0.0,0.0,12.0,0.0,110.37,,,,,,
40,SNDK,Data Storage Devices,2006.0,98.6,9.1,68.0,107.6,322.6,1669.8,,,,,2006.0,2010.1,-4.5,1.5,389.6,466.79237597954994,2022.9,6.0,4.0,17.5,111.15,2,439.32786887444,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,6.0,4.0,17.5,1.0,0.0,60.0,12.0,0.0,111.15,,,,,,
41,WSM,Specialty Retail,284.2,71.0,13.8,-1.0,-7.0,-5.2,-6.2,-3.8,28.8,63.5,145.7,284.2,417.3,-40.6,1.2,423.6,231.65031380483583,430.9,59.0,59.0,21.29,111.54,8,116.6284143512193,STRONG_DOWN,UPPER_RANGE,MOMENTUM_UP,S0_NEUTRAL,,,,,59.0,59.0,21.29,236.0,4.0,0.0,0.0,0.0,111.54,,,,,,
42,CDNS,Electronic Design Automation Software,266.2,72.8,4.0,8.3,10.2,7.1,-1.2,-3.6,-12.2,4.5,48.0,266.2,367.1,-3.4,1.2,338.4,333.2912597609854,412.9,61.0,62.0,18.44,111.94,50,333.28752135887834,EARLY_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,61.0,62.0,18.44,119.0,0.0,0.0,25.0,0.0,111.94,,,,,,
43,WMB,Oil & Gas Midstream,198.5,94.0,-0.8,-2.9,0.6,11.3,14.3,32.5,61.4,114.9,183.7,198.5,215.4,-57.9,1.1,145.0,23.408933146413943,345.2,76.0,79.0,14.35,112.2,29,-9.55410503656698,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,76.0,79.0,14.35,121.0,0.0,0.0,0.0,0.0,112.2,,,,,,
44,GOOGL,Internet Conglomerates,261.0,93.2,-4.5,7.2,9.5,13.7,46.2,67.7,87.1,109.8,161.5,261.0,281.0,-11.4,1.3,124.0,0.7516455476535495,407.7,62.0,63.0,4.44,113.69,22,-7.761899450384181,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,62.0,63.0,4.44,61.0,0.0,0.0,25.0,-8.0,113.69,,,,,,
45,AMAT,Semiconductor Equipment & Materials,490.6,94.8,-3.0,7.2,11.6,33.9,77.4,88.6,97.8,132.5,240.1,490.6,518.8,-21.2,1.6,217.6,1.7240215060887665,637.3,41.0,41.0,15.89,113.79,15,-12.44714834675062,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,41.0,41.0,15.89,39.0,0.0,0.0,25.0,0.0,113.79,,,,,,
46,IBKR,Capital Markets,326.5,92.6,-6.0,5.6,6.4,11.6,19.1,55.8,111.8,193.8,264.4,326.5,313.6,-46.8,1.2,211.0,0.7621344696738507,473.2,55.0,56.0,13.33,115.13,12,-24.33786553032615,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,55.0,56.0,13.33,91.0,0.0,0.0,12.0,0.0,115.13,,,,,,
47,GOOG,Internet Content & Information,259.6,92.9,-4.9,6.8,8.7,12.5,44.0,64.4,83.1,105.2,156.4,259.6,280.7,-10.8,1.3,128.4,0.5970904875207448,406.3,63.0,64.0,4.44,115.34,17,-8.002317330622782,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,63.0,64.0,4.44,67.0,0.0,0.0,25.0,-8.0,115.34,,,,,,
48,APP,Software,854.5,55.8,-2.1,7.2,3.4,-12.5,-5.9,110.2,480.5,859.5,,854.5,1542.2,-55.4,1.4,1642.5,0.806130980374565,915.5,25.0,24.0,12.9,115.55,-42,-1373.5412851461406,STRONG_UP,UPPER_RANGE,MOMENTUM_DOWN,S0_NEUTRAL,,,,,25.0,24.0,12.9,198.0,8.0,11.0,0.0,0.0,115.55,,,,,,
49,TER,Semiconductors,417.0,77.5,4.7,-0.4,10.3,41.2,136.2,152.1,162.3,155.3,186.9,417.0,539.1,-50.5,2.3,140.6,101.39904577688677,563.7,47.0,49.0,27.73,115.58,36,92.69159728236349,EARLY_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,47.0,49.0,27.73,24.0,0.0,0.0,25.0,0.0,115.58,,,,,,
50,BK,Asset Servicing,114.1,93.9,5.1,1.2,4.8,9.9,19.0,43.6,78.6,105.7,128.5,114.1,125.6,-53.4,1.1,61.7,40.996029477939224,260.8,106.0,109.0,13.33,116.53,40,-1.5341909351083771,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,106.0,109.0,13.33,100.0,0.0,0.0,-6.0,0.0,116.53,,,,,,
51,EME,Construction & Engineering,630.0,86.9,-8.8,-5.3,2.3,12.3,23.5,48.2,106.0,264.9,434.7,630.0,717.4,-42.2,1.2,490.9,0.03348117266292372,776.7,32.0,32.0,13.73,117.58,-25,-106.31614523719405,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,32.0,32.0,13.73,103.0,0.0,0.0,25.0,0.0,117.58,,,,,,
52,CRWD,Cybersecurity Software,228.0,99.3,6.7,45.3,49.0,36.4,28.6,48.1,87.6,121.7,,228.0,194.7,-38.3,1.3,111.6,97.39418258511876,316.4,87.0,70.0,30.5,121.2,28,-11.21730125359764,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,87.0,70.0,30.5,31.0,0.0,11.0,0.0,0.0,121.2,,,,,,
53,OKE,Oil & Gas Midstream,143.1,57.8,0.0,-4.0,1.7,10.9,7.2,-6.8,-7.2,7.6,69.5,143.1,292.4,-60.3,1.4,221.8,120.5,289.8,97.0,99.0,23.89,122.24,4,-153.39266808954204,STRONG_UP,UPPER_RANGE,NEUTRAL,S0_NEUTRAL,,,,,97.0,99.0,23.89,142.0,0.0,0.0,0.0,0.0,122.24,,,,,,
54,URI,Equipment Rental,272.7,77.4,-4.3,4.8,6.3,5.3,1.1,-0.3,8.6,43.5,136.7,272.7,362.9,-36.0,1.3,319.9,45.70812535651151,419.4,60.0,61.0,11.89,122.34,-23,-132.46907088148637,EARLY_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,60.0,61.0,11.89,137.0,0.0,0.0,25.0,0.0,122.34,,,,,,
55,FSLR,Solar Energy,89.8,44.1,6.2,13.0,11.7,0.3,11.8,4.8,-5.3,18.8,55.7,89.8,269.7,-51.3,1.6,129.2,152.64381373864043,236.5,123.0,127.0,23.33,122.73,28,-28.34884236318777,STRONG_UP,MID_RANGE,MOMENTUM_UP,S1_LEADER,,,,,123.0,127.0,23.33,99.0,0.0,0.0,-6.0,0.0,122.73,,,,,,
56,LITE,Communication Equipment,1405.4,90.8,-0.7,5.6,44.8,127.8,485.3,959.6,1226.9,1165.0,1143.7,1405.4,1558.0,-109.6,1.6,325.7,-1.87378688974911,1552.1,10.0,11.0,27.33,123.58,83,43.059575872801155,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,10.0,11.0,27.33,13.0,0.0,0.0,25.0,0.0,123.58,,,,,,
57,STLD,Steel,324.4,93.1,1.2,5.7,11.4,20.6,38.7,44.4,44.4,83.4,231.0,324.4,352.4,-47.6,1.3,185.7,51.33939965153396,471.1,56.0,57.0,24.78,123.78,16,21.786363986884975,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,56.0,57.0,24.78,60.0,0.0,0.0,25.0,0.0,123.78,,,,,,
58,TPR,Luxury Goods,225.4,76.7,7.7,-11.3,-9.7,-0.7,16.3,83.5,137.7,178.6,282.0,225.4,323.5,-95.4,1.1,208.2,125.23878844481804,372.1,69.0,71.0,30.02,126.37,39,118.41658345804625,STRONG_DOWN,UPPER_RANGE,MOMENTUM_UP,S0_NEUTRAL,,,,,69.0,71.0,30.02,184.0,4.0,0.0,0.0,0.0,126.37,,,,,,
59,ON,Semiconductors,179.2,58.1,-3.8,33.1,49.6,72.7,89.4,66.2,32.4,21.7,85.8,179.2,342.5,-46.0,1.8,8.8,0.9209943294926447,325.9,85.0,89.0,28.41,128.51,30,-61.739797671528876,STRONG_UP,UPPER_RANGE,MOMENTUM_DOWN,S0_NEUTRAL,,,,,85.0,89.0,28.41,17.0,0.0,0.0,0.0,0.0,128.51,,,,,,
60,HLT,Lodging,91.7,77.3,3.9,-5.2,-3.5,1.6,3.0,5.6,13.4,28.2,46.4,91.7,125.4,-21.3,1.2,101.6,84.86087205152121,238.4,121.0,126.0,11.57,130.12,57,84.31519595212988,EARLY_UP,UPPER_RANGE,MOMENTUM_UP,S2_EARLY_BREAKOUT,,,,,121.0,126.0,11.57,180.0,0.0,0.0,-4.0,0.0,130.12,,,,,,
61,CASY,Retail Specialty Group,258.2,88.4,-5.4,-2.9,8.7,23.4,34.2,57.8,87.4,141.7,180.7,258.2,297.0,-38.6,1.1,150.6,0.024284954586334822,404.9,64.0,65.0,9.49,130.49,4,-11.031679357032186,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,64.0,65.0,9.49,70.0,0.0,0.0,25.0,0.0,130.49,,,,,,
62,GLW,Electronic Components,524.3,90.1,-0.1,19.8,34.6,68.9,140.2,240.6,336.3,385.2,448.9,524.3,588.8,-58.2,1.2,143.1,2.917234657698754,671.0,37.0,39.0,36.22,131.27,33,0.9172346576987538,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,37.0,39.0,36.22,16.0,0.0,0.0,25.0,0.0,131.27,,,,,,
63,RL,Apparel Manufacturing,131.5,86.2,20.2,-3.4,-3.2,-1.8,6.5,33.3,68.6,117.4,146.8,131.5,164.2,-70.2,1.1,116.2,81.94934085014211,278.2,102.0,105.0,19.58,132.18,63,81.81457486002715,STRONG_DOWN,OVEREXTENDED,MOMENTUM_UP,S0_NEUTRAL,,,,,102.0,105.0,19.58,174.0,0.0,0.0,0.0,0.0,132.18,,,,,,
