Rank,Ticker,Sector,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,1m,3m,6m,1y,2y,3y,5y,7y,max,Max_Divergence,Min_Divergence,Volatility_Adjustment,Expected_Return,Dynamic_Expected_Return,Total_Return,Total_Return_Rank,Divergence_Rank,Expected_Return_Rank,Dynamic_Expected_Return_Rank,Period_Penalty,Alpha_Penalty,Penalty_Raw,Penalty,Penalty_N,Penalty_Rank,IsCrypto,Penalty_N2,Average_Rank
58,BKNG,Consumer Cyclical,-33.7,36.1,-1.0,9.2,2.7,-5.8,-6.9,2.3,14.1,42.5,51.7,48.0,16.1,-61.8,1.48,0.0,0.0,57.744048420551565,59.0,63.0,64.0,63.5,2.5,50.0,52.5,52.5,0.4375,41.0,False,0.4375,63.3197
59,NEE,Utilities,-33.4,11.8,2.0,-5.4,-0.8,0.8,-1.8,-7.6,-19.7,-37.8,-51.6,-51.5,79.0,-48.5,2.0,0.0,0.0,58.04766573261249,58.0,62.0,64.0,63.5,17.33,30.0,55.33,55.33,0.46108333333333335,45.0,False,0.46108333333333335,63.4534
60,SO,Utilities,-38.4,7.3,3.6,-2.3,-7.2,-11.3,-14.4,-16.1,-22.1,-26.4,-39.3,-58.5,43.2,-44.8,1.62,0.0,0.0,53.03261702975783,62.0,66.0,64.0,63.5,18.776666666666667,30.0,48.77666666666667,48.78,0.40647222222222223,34.0,False,0.40647222222222223,63.4794
61,PANW,Technology,23.6,36.5,-1.5,-2.1,-10.7,-11.6,-13.7,-13.4,-3.7,30.7,100.7,201.9,149.3,-48.7,1.15,-0.1,-0.1,115.0244034108962,42.0,44.0,104.0,104.0,5.221666666666667,10.0,23.221666666666668,23.22,0.1935138888888889,9.0,False,0.1935138888888889,64.3036
62,PLD,Real Estate,-27.1,14.1,1.5,-1.2,4.6,7.1,2.0,-10.3,-24.8,-39.8,-49.7,-51.2,66.6,-42.5,1.97,0.0,0.0,64.25150482355872,56.0,61.0,64.0,63.5,17.76,40.0,65.76,65.76,0.548,59.0,False,0.548,64.8211
63,NEM,Basic Materials,-11.9,55.2,-5.8,8.4,15.2,34.2,71.4,87.8,81.9,52.1,38.0,30.3,51.4,-90.0,2.15,0.0,0.0,79.53382931639945,54.0,57.0,64.0,63.5,6.119999999999999,70.0,84.12,84.12,0.7010000000000001,89.0,False,0.7010000000000001,65.3065
64,AMAT,Technology,28.8,59.4,-0.9,0.6,11.9,24.7,35.3,20.2,25.9,38.9,112.6,215.5,79.5,-45.3,1.98,-0.8,-1.19,120.20281809726455,41.0,42.0,106.0,108.0,3.48,50.0,68.47999999999999,68.48,0.5706666666666665,65.0,False,0.5706666666666665,65.5439
65,JNJ,Healthcare,-38.9,31.0,3.4,0.5,7.5,13.1,14.8,8.6,-4.9,-19.8,-37.0,-60.6,13.6,-62.5,2.1,0.0,0.0,52.49879895180325,63.0,67.0,64.0,63.5,13.400000000000002,50.0,63.400000000000006,63.4,0.5283333333333334,57.0,False,0.5283333333333334,66.1234
66,BLK,Financial Services,-42.2,5.8,-0.8,2.7,-3.9,-6.4,-7.2,-4.2,-4.8,-11.8,-10.1,-14.7,29.2,-46.6,2.1,0.0,0.0,49.20551014608607,65.0,69.0,64.0,63.5,8.73,50.0,66.73,66.73,0.5560833333333334,60.0,False,0.5560833333333334,66.7388
67,AEP,Utilities,-43.7,8.3,2.2,-4.5,-2.0,-2.5,-3.2,-2.8,-9.9,-20.2,-41.6,-62.8,30.3,-50.4,2.13,0.0,0.0,47.745415866773165,66.0,70.0,64.0,63.5,15.0,50.0,65.0,65.0,0.5416666666666666,58.0,False,0.5416666666666666,68.3856
68,KO,Consumer Defensive,-49.3,9.7,2.7,-3.1,1.4,-5.0,-9.3,-14.3,-24.4,-31.8,-48.1,-71.1,10.1,-55.7,2.43,0.0,0.0,42.11777602112208,70.0,73.0,64.0,63.5,21.718333333333334,40.0,61.718333333333334,61.72,0.5143194444444444,53.0,False,0.5143194444444444,69.6681
69,MA,Financial Services,-39.7,9.3,0.2,4.7,1.3,-4.1,-9.0,-7.7,-8.9,-5.8,-8.6,43.9,52.9,-49.2,1.84,0.0,0.0,51.74036374850346,64.0,68.0,64.0,63.5,6.918333333333334,60.0,66.91833333333334,66.92,0.5576527777777778,62.0,False,0.5576527777777778,69.7643
70,AMZN,Consumer Cyclical,-51.1,3.9,0.6,-1.6,-1.3,-3.6,-5.3,-2.5,11.3,4.9,3.4,60.8,99.0,-57.2,2.19,0.0,0.0,40.296019785101066,71.0,75.0,64.0,63.5,5.3133333333333335,50.0,63.31333333333333,63.31,0.5276111111111111,56.0,False,0.5276111111111111,70.8103
71,TEM,Healthcare,-23.1,14.7,-7.4,-20.4,-29.3,-21.4,-5.0,-2.9,-2.9,-2.9,-2.9,-2.9,74.6,-40.0,1.59,0.0,0.0,5.457098503637381,91.0,59.0,64.0,63.5,29.26,80.0,120.0,120.0,1.0,111.5,False,1.0,71.084
72,DUK,Utilities,-55.2,5.3,2.4,-3.2,-5.5,-8.8,-12.3,-14.2,-21.1,-32.2,-50.7,-76.6,28.9,-59.9,2.39,0.0,0.0,36.229118281315785,73.0,79.5,64.0,63.5,21.86,30.0,51.86,51.86,0.43216666666666664,40.0,False,0.43216666666666664,71.3326
73,V,Financial Services,-45.3,13.5,0.7,5.9,2.3,-3.9,-9.0,-5.4,-7.0,-4.8,-11.1,15.1,27.5,-56.7,2.14,0.0,0.0,46.12043681660178,67.0,71.0,64.0,63.5,7.848333333333334,60.0,67.84833333333333,67.85,0.5654027777777777,64.0,False,0.5654027777777777,71.8721
74,SNOW,Technology,-25.1,36.1,-1.6,-13.1,-11.4,-11.0,1.8,11.8,0.4,-26.3,-30.6,-30.6,37.2,-60.3,2.09,0.0,0.0,25.41760986744819,80.0,60.0,64.0,63.5,11.181666666666665,80.0,99.18166666666667,99.18,0.8265138888888889,101.0,False,0.8265138888888889,72.3304
75,GRAB,Technology,-53.1,5.7,0.0,-5.5,-15.0,-10.3,-10.7,1.4,-2.4,-29.9,-29.9,-29.9,21.6,-57.6,1.63,0.0,0.0,-6.379523151624522,95.0,76.0,64.0,63.5,10.196666666666665,53.33333333333334,78.53,78.53,0.6544166666666666,76.0,False,0.6544166666666666,72.8324
76,UBER,Technology,-54.6,7.8,3.3,-5.8,-15.0,-17.1,-8.7,-10.7,11.2,30.2,27.8,27.8,24.6,-61.3,1.49,0.0,0.0,17.839381450170478,86.0,78.0,64.0,63.5,6.2283333333333335,60.0,74.22833333333334,74.23,0.6185694444444445,75.0,False,0.6185694444444445,73.0757
77,RTX,Industrials,-55.2,18.8,0.0,8.9,6.8,9.8,18.5,31.8,34.8,40.5,34.7,15.5,10.8,-70.5,1.63,0.0,0.0,36.174724885556905,74.0,79.5,64.0,63.5,1.7199999999999998,80.0,81.72,81.72,0.6809999999999999,80.0,False,0.6809999999999999,73.098
78,ARM,Technology,-50.8,0.8,0.8,-19.2,-27.1,-31.4,-29.3,-30.5,-20.9,-20.9,-20.9,-20.9,120.7,-52.2,2.0,0.0,0.0,1.741400164045226,92.0,74.0,64.0,63.5,36.276666666666664,80.0,120.0,120.0,1.0,111.5,False,1.0,73.63
79,NOC,Industrials,-54.1,5.2,-0.6,4.2,-3.3,-2.9,-1.5,-5.6,-16.2,-16.4,-25.6,-35.7,47.6,-59.7,2.07,0.0,0.0,37.26542882518953,72.0,77.0,64.0,63.5,12.211666666666666,60.0,72.21166666666667,72.21,0.601763888888889,73.0,False,0.601763888888889,76.6681
80,PG,Consumer Defensive,-71.4,4.1,1.8,-3.0,-5.9,-12.4,-22.3,-31.3,-42.5,-51.1,-66.5,-80.9,25.1,-75.5,1.98,0.0,0.0,20.01641513053972,85.0,89.0,64.0,63.5,28.183333333333334,30.0,58.18333333333334,58.18,0.48486111111111113,48.0,False,0.48486111111111113,76.869
81,ADBE,Technology,-48.3,6.6,0.4,8.1,2.1,-6.2,-19.7,-39.8,-53.6,-67.9,-82.3,-66.3,129.3,-60.8,2.17,0.0,0.0,43.12812537655191,69.0,72.0,64.0,63.5,30.773333333333333,40.0,85.77333333333334,85.77,0.7147777777777778,92.0,False,0.7147777777777778,78.0087
82,CVX,Energy,-59.6,3.4,3.2,-0.3,-2.2,-5.1,-10.0,-19.4,-35.0,-36.3,-48.5,-76.9,64.9,-64.0,1.93,0.0,0.0,31.81922689444192,75.0,81.0,64.0,63.5,22.439999999999998,60.0,82.44,82.44,0.6869999999999999,81.0,False,0.6869999999999999,78.9653
83,ALB,Basic Materials,-64.9,18.3,-1.1,9.9,48.3,74.1,75.3,39.1,-2.4,-40.3,-40.1,-66.4,166.4,-116.7,2.59,0.0,0.0,26.52377576699716,78.0,84.0,64.0,63.5,15.68,50.0,80.68,80.68,0.6723333333333333,78.0,False,0.6723333333333333,80.0158
