Rank,Ticker,Sector,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,5d,1m,3m,6m,1y,3y,5y,7y,max,Max_Divergence,Min_Divergence,Volatility_Adjustment,Expected_Return,Dynamic_Expected_Return,Total_Return,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Average_Rank,Average_Rank,Delta_Previous_Rank,Delta_Previous_Dynamic_Expected_Return,Trend_State,Position_State,Momentum_State,Composite_State,DER_cap_monthly,DER_capped,F_trend,DER_capped_trend,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Recent_Momentum_Rank,Recent_Weakness_Penalty,Coverage_Penalty,State_Adjustment,Durability_Adjustment,Average_Rank,Average_Rank,Market_Cap,Market_Cap_B,Market_Cap_Rank,Market_Cap_Bucket,Market_Cap_Asset_Type,Market_Cap_Source,Interval_Dice,Alpha_Dice,High_52W,Pct_From_52W_High,At_52W_High
14,FTNT,Cybersecurity Software,535.6,96.8,0.3,0.2,33.5,52.3,60.6,52.2,53.5,57.0,152.8,535.6,554.3,-20.2,1.4,314.0,75.14028400786782,679.5,41.0,41.0,42.0,42.0,11.44,11.44,79.59,79.59,17,5.940284007867817,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,41.0,41.0,42.0,42.0,11.44,11.44,24.0,0.0,0.0,12.0,0.0,79.59,79.59,,,,,,,111111111,111111101,150.065,-3.34,False
15,MU,Semiconductors,2135.1,91.7,13.3,15.2,40.1,93.0,150.2,385.7,789.1,1022.8,1244.3,2135.1,2328.6,-25.2,1.5,476.0,38.61070343353788,2279.0,5.0,5.0,5.0,5.0,27.33,27.33,80.88,80.88,1,9.41070343353788,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,5.0,5.0,5.0,5.0,27.33,27.33,2.0,0.0,0.0,12.0,0.0,80.88,80.88,,,,,,,111111111,111100011,1089.29,-8.58,False
16,MPWR,Semiconductors,644.1,92.8,8.7,7.3,1.9,16.2,32.8,54.8,91.4,131.3,251.9,644.1,693.2,-5.3,1.4,354.6,70.78921074657093,788.0,33.0,33.0,34.0,34.0,0.0,0.0,81.0,81.0,4,6.208661338354318,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,33.0,33.0,34.0,34.0,0.0,0.0,47.0,0.0,0.0,25.0,0.0,81.0,81.0,,,,,,,111111111,111111111,1714.0898,-7.27,False
17,URI,Equipment Rental,347.5,96.1,0.1,0.0,10.1,18.5,21.9,16.7,28.3,72.1,179.8,347.5,362.9,-36.0,1.3,260.9,61.512144644332786,491.3,58.0,58.0,61.0,61.0,8.89,8.89,83.84,83.84,20,-22.45436226465808,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,58.0,58.0,61.0,61.0,8.89,8.89,69.0,0.0,0.0,0.0,0.0,83.84,83.84,,,,,,,011111111,100111111,1106.8781,-3.47,False
18,SMH,Unknown,632.1,94.7,8.4,6.9,10.1,26.4,39.3,63.8,127.4,205.0,314.7,632.1,667.5,-5.3,1.2,307.6,54.47321702025037,776.0,34.0,34.0,35.0,35.0,0.0,0.0,85.2,85.2,-8,7.973217020250367,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,34.0,34.0,35.0,35.0,0.0,0.0,38.0,0.0,0.0,25.0,0.0,85.2,85.2,,,,,,,111111111,111111111,642.77,-5.18,False
19,JBL,Electronic Manufacturing Services,693.6,98.7,8.1,6.7,7.6,18.9,36.5,50.6,119.4,235.9,418.0,693.6,653.4,-28.8,1.1,337.9,49.544116507725235,837.5,32.0,32.0,33.0,33.0,0.0,0.0,85.5,85.5,3,-2.083164760612945,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,32.0,32.0,33.0,33.0,0.0,0.0,44.0,0.0,0.0,25.0,0.0,85.5,85.5,,,,,,,111111111,111111111,384.7,-2.03,False
20,ASML,Semi-Conductors,521.7,100.0,8.6,15.7,25.0,25.1,37.5,74.1,94.3,107.6,185.0,521.7,520.1,-5.8,1.7,213.0,36.5,665.6,44.0,44.0,45.0,45.0,22.89,22.89,85.54,85.54,21,0.10000000000000142,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,44.0,44.0,45.0,45.0,22.89,22.89,31.0,0.0,0.0,-6.0,0.0,85.54,85.54,,,,,,,111111111,111110011,1903.5,-0.21,True
21,APH,Electronic Components,328.0,80.5,12.2,9.8,5.8,3.8,2.9,12.8,88.8,146.6,211.7,328.0,384.6,-16.3,1.2,265.9,46.4459509873368,471.8,60.0,60.0,62.0,62.0,4.44,4.44,87.34,87.34,24,-4.477737933435286,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,60.0,60.0,62.0,62.0,4.44,4.44,136.0,0.0,0.0,-6.0,0.0,87.34,87.34,,,,,,,111111111,11-111111,167.04,-8.73,False
22,MRVL,Semiconductors,821.7,86.4,6.9,6.5,49.2,121.3,165.4,212.5,249.8,292.6,407.0,821.7,862.2,-14.2,2.4,133.9,33.78117504320432,965.5,23.0,23.0,24.0,24.0,15.89,15.89,87.49,87.49,4,10.381175043204323,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,23.0,23.0,24.0,24.0,15.89,15.89,1.0,0.0,0.0,12.0,0.0,87.49,87.49,,,,,,,111111111,011110111,324.15,-13.4,False
23,AVGO,Semiconductors,1138.6,77.4,-0.1,-0.1,-12.1,-0.2,0.5,7.3,109.0,294.1,553.2,1138.6,1473.1,-16.4,1.2,1215.1,272.7702715776574,1282.4,15.0,15.0,15.0,15.0,0.6,0.6,87.75,87.75,-22,124.3702715776574,EARLY_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,15.0,15.0,15.0,15.0,0.6,0.6,250.0,0.0,0.0,25.0,0.0,87.75,87.75,,,,,,,000111111,111111111,495.0,-22.11,False
24,CAT,Construction Machinery,504.8,94.5,-1.0,-0.8,2.5,7.2,22.4,55.2,116.3,185.7,285.2,504.8,533.7,-5.5,1.2,260.7,39.407843769872045,648.6,46.0,46.0,47.0,47.0,4.44,4.44,88.09,88.09,14,0.7072141701954422,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,46.0,46.0,47.0,47.0,4.44,4.44,57.0,0.0,0.0,12.0,0.0,88.09,88.09,,,,,,,011111111,110111111,946.83,-5.2,False
25,RGTI,Quantum Computing,785.9,30.2,-0.1,-0.3,-0.6,12.5,3.0,4.8,802.1,811.3,,785.9,2754.1,-93.0,1.6,2679.0,901.0466178544759,844.8,31.0,31.0,26.0,26.0,12.9,12.9,92.8,92.8,-16,337.08904081022945,EARLY_DOWN,MID_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,31.0,31.0,26.0,26.0,12.9,12.9,145.0,0.0,11.0,25.0,0.0,92.8,92.8,,,,,,,0011111-1,------111,58.15,-64.52,False
26,IBKR,Capital Markets,360.1,100.0,6.5,5.2,5.5,11.7,17.4,22.6,120.2,210.9,288.5,360.1,318.1,-46.8,1.2,200.3,27.1,504.0,55.0,55.0,58.0,58.0,13.33,13.33,93.28,93.28,14,-0.16464226728446008,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,55.0,55.0,58.0,58.0,13.33,13.33,80.0,0.0,0.0,-6.0,0.0,93.28,93.28,,,,,,,111111111,100011111,91.02,-2.41,False
27,PANW,Cybersecurity Software,351.3,91.1,3.7,2.7,23.9,47.3,46.3,37.0,35.7,79.2,181.7,351.3,389.3,-34.6,1.2,225.7,62.2352865422588,495.1,57.0,57.0,60.0,60.0,0.0,0.0,94.15,94.15,-12,10.875340909762436,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,57.0,57.0,60.0,60.0,0.0,0.0,32.0,0.0,0.0,25.0,0.0,94.15,94.15,,,,,,,111111111,111111111,302.95,-7.73,False
28,STX,Data Storage,1710.5,91.7,2.4,2.4,7.0,52.9,105.6,242.7,694.1,866.9,1118.1,1710.5,1867.5,-36.7,1.2,485.1,34.7316367250803,1854.4,8.0,8.0,8.0,8.0,24.78,24.78,94.88,94.88,-10,8.431636725080299,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,8.0,8.0,8.0,8.0,24.78,24.78,8.0,0.0,0.0,25.0,0.0,94.88,94.88,,,,,,,111111111,100101011,966.8,-10.21,False
29,CASY,Retail Specialty Group,313.6,99.0,22.1,20.2,16.4,17.7,32.3,48.1,108.4,172.7,217.8,313.6,316.8,-38.6,1.1,141.8,19.150793106436858,457.4,61.0,61.0,63.0,63.0,8.89,8.89,96.69,96.69,51,-16.70782006067899,EARLY_UP,OVEREXTENDED,MOMENTUM_UP,S0_NEUTRAL,,,,,61.0,61.0,63.0,63.0,8.89,8.89,45.0,0.0,0.0,0.0,0.0,96.69,96.69,,,,,,,111111111,011011111,927.85,-1.25,False
30,RKLB,Aerospace & Defense,1283.0,74.0,3.3,4.2,19.9,40.2,61.3,108.1,1112.9,1332.0,,1283.0,1719.1,-77.2,1.3,790.3,108.29847319805944,1346.4,14.0,14.0,13.0,13.0,27.0,27.0,97.65,97.65,-5,24.105006080215745,EARLY_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,14.0,14.0,13.0,13.0,27.0,27.0,17.0,0.0,11.0,25.0,0.0,97.65,97.65,,,,,,,1111111-1,-----0111,150.9999,-23.99,False
31,GWW,Industrial Distribution,185.7,83.1,1.6,1.0,10.2,8.4,14.6,15.1,5.8,37.8,91.9,185.7,230.8,-40.3,1.2,164.6,55.055069618281294,329.6,92.0,92.0,94.0,94.0,0.0,0.0,98.0,98.0,47,-14.120980595448358,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,92.0,92.0,94.0,94.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,98.0,98.0,,,,,,,111111111,111111111,1349.74,-2.65,False
32,APO,Asset Management,193.1,46.3,4.4,4.6,3.7,9.2,1.0,-6.6,-15.8,12.4,46.8,193.1,428.2,-9.1,1.3,501.2,308.3910461105459,336.9,87.0,87.0,89.0,89.0,15.44,15.44,99.04,99.04,60,-62.0780488181033,STRONG_UP,MID_RANGE,MOMENTUM_UP,S1_LEADER,,,,,87.0,87.0,89.0,89.0,15.44,15.44,205.0,0.0,0.0,-6.0,0.0,99.04,99.04,,,,,,,111100111,111111110,153.29,-12.64,False
33,ANET,Networking Equipment,745.8,82.9,1.4,1.3,-8.7,1.2,4.7,9.5,56.5,174.3,353.5,745.8,904.1,-19.6,1.3,727.0,180.4281264141449,889.7,25.0,25.0,29.0,29.0,9.98,9.98,99.28,99.28,-21,48.911848691075534,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,25.0,25.0,29.0,29.0,9.98,9.98,201.0,0.0,0.0,25.0,0.0,99.28,99.28,,,,,,,101111111,100111111,179.79,-13.01,False
34,TSM,Semiconductors,574.3,93.2,1.9,1.4,1.5,4.7,15.6,36.2,129.1,189.8,278.9,574.3,616.9,-6.0,1.1,367.2,61.196186667337365,718.1,40.0,40.0,41.0,41.0,11.44,11.44,102.44,102.44,-15,10.696186667337365,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,40.0,40.0,41.0,41.0,11.44,11.44,78.0,0.0,0.0,25.0,0.0,102.44,102.44,,,,,,,111111111,111110111,450.1636,-6.46,False
35,CDNS,Electronic Design Automation Software,301.6,82.4,2.9,2.0,2.8,12.4,14.6,7.7,-2.3,15.5,62.8,301.6,367.1,-3.4,1.2,301.2,94.18553433880268,445.5,62.0,62.0,65.0,65.0,14.44,14.44,102.69,102.69,-18,22.15502911629912,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,62.0,62.0,65.0,65.0,14.44,14.44,109.0,0.0,0.0,12.0,0.0,102.69,102.69,,,,,,,111110111,111111110,416.69,-7.91,False
36,TKO,Entertainment,257.0,85.4,7.0,5.0,8.9,-0.1,-0.8,1.5,37.7,89.9,121.4,257.0,307.5,-34.9,1.2,268.5,56.38773598715232,400.8,68.0,68.0,69.0,69.0,10.29,10.29,105.09,105.09,26,-12.69380942282185,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,68.0,68.0,69.0,69.0,10.29,10.29,208.0,0.0,0.0,-6.0,0.0,105.09,105.09,,,,,,,110011111,110011111,226.83,-5.79,False
37,QBTS,Quantum Computing,796.2,44.8,-0.1,-0.2,-0.9,19.7,10.0,10.1,972.6,872.5,,796.2,1840.5,-110.7,1.5,1519.0,334.05163905892687,858.7,28.0,28.0,25.0,25.0,27.4,27.4,106.6,106.6,-13,125.35163905892688,EARLY_DOWN,MID_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,28.0,28.0,25.0,25.0,27.4,27.4,102.0,0.0,11.0,25.0,0.0,106.6,106.6,,,,,,,0011111-1,-----0111,46.75,-49.05,False
38,IONQ,Quantum Computing,374.2,56.2,1.5,2.1,4.8,37.3,31.9,21.9,211.7,380.8,,374.2,660.4,-66.8,1.4,472.5,130.6697392445475,435.8,63.0,63.0,56.0,56.0,10.0,10.0,107.3,107.3,-8,53.5077713637306,EARLY_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,63.0,63.0,56.0,56.0,10.0,10.0,51.0,0.0,11.0,25.0,0.0,107.3,107.3,,,,,,,1111111-1,-----1111,84.64,-31.49,False
39,SOXX,Semiconductor,514.4,94.3,11.0,8.7,14.5,37.2,55.4,85.9,128.8,174.2,252.3,514.4,544.4,-6.2,1.4,187.4,32.537742708500765,658.2,45.0,45.0,46.0,46.0,11.44,11.44,108.24,108.24,-12,5.037742708500765,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,45.0,45.0,46.0,46.0,11.44,11.44,25.0,0.0,0.0,25.0,0.0,108.24,108.24,,,,,,,111111111,111111011,618.84,-5.16,False
40,ASTS,Satellite Communications,943.2,71.2,3.2,4.2,15.2,12.4,19.1,57.7,953.5,1025.9,,943.2,1328.4,-128.2,1.3,808.4,128.66511955545658,1022.9,22.0,22.0,20.0,20.0,30.5,30.5,108.4,108.4,-6,52.16303735117977,EARLY_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,22.0,22.0,20.0,20.0,30.5,30.5,50.0,0.0,11.0,25.0,0.0,108.4,108.4,,,,,,,1111111-1,----00111,133.8599,-27.12,False
41,TT,Building Products,229.4,78.4,1.4,0.7,-0.5,-3.2,0.8,-3.6,14.1,50.0,96.1,229.4,294.6,-7.0,1.2,286.0,84.64168760046314,373.3,74.0,74.0,76.0,76.0,3.55,3.55,109.85,109.85,24,-9.117778531424321,EARLY_UP,UPPER_RANGE,MOMENTUM_UP,S2_EARLY_BREAKOUT,,,,,74.0,74.0,76.0,76.0,3.55,3.55,286.0,0.0,0.0,-4.0,0.0,109.85,109.85,,,,,,,100101111,111111111,503.47,-8.61,False
42,EME,Construction & Engineering,588.1,81.5,-0.8,-0.8,-6.1,-3.3,6.0,13.3,87.9,238.8,399.4,588.1,717.4,-42.2,1.2,539.8,117.89428943618834,731.9,38.0,38.0,39.0,39.0,14.22,14.22,111.77,111.77,10,6.382046833897832,STRONG_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,38.0,38.0,39.0,39.0,14.22,14.22,193.0,0.0,0.0,25.0,0.0,111.77,111.77,,,,,,,000111111,000111111,951.95,-14.75,False
43,CIEN,Communications Equipment,897.3,67.7,-7.8,-8.8,-19.1,-5.9,34.5,165.8,496.4,556.2,607.3,897.3,1355.9,-63.2,1.3,503.7,31.004090982775686,1041.2,20.0,20.0,21.0,21.0,27.93,27.93,112.43,112.43,-14,19.104090982775688,EARLY_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,20.0,20.0,21.0,21.0,27.93,27.93,30.0,4.0,0.0,25.0,0.0,112.43,112.43,,,,,,,000111111,111100011,637.51,-30.16,False
44,STLD,Steel,440.1,100.0,2.9,4.1,14.6,26.8,39.0,65.3,80.8,128.7,310.1,440.1,440.5,-47.6,1.4,184.4,33.0,584.0,52.0,52.0,52.0,52.0,24.78,24.78,113.03,113.03,-2,0.10000000000000142,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,52.0,52.0,52.0,52.0,24.78,24.78,35.0,0.0,0.0,12.0,0.0,113.03,113.03,,,,,,,111111111,000111101,281.59,-0.72,False
45,HOOD,Capital Markets,367.5,47.2,6.3,11.8,13.6,15.1,-2.0,-12.6,260.9,,,367.5,820.7,-60.3,1.4,899.5,277.30093310607367,424.6,64.0,64.0,57.0,57.0,12.9,12.9,114.45,114.45,23,-20.561888203615013,STRONG_UP,MID_RANGE,MOMENTUM_UP,S1_LEADER,,,,,64.0,64.0,57.0,57.0,12.9,12.9,173.0,10.0,26.0,-6.0,0.0,114.45,114.45,,,,,,,111001--1,------111,153.86,-40.06,False
46,QUBT,Quantum Computing,883.7,11.0,0.0,-0.5,-6.0,8.7,0.8,-24.0,493.8,379.5,277.3,883.7,9187.6,-139.9,1.6,11147.0,5000.0,1027.5,21.0,21.0,22.0,22.0,20.93,20.93,116.13,116.13,-43,282.98330620162506,EARLY_DOWN,LOWER,MOMENTUM_DOWN,S5_TRASH,,,,,21.0,21.0,22.0,22.0,20.93,20.93,333.0,10.0,0.0,25.0,0.0,116.13,116.13,,,,,,,001101111,111000111,25.84,-61.65,False
47,ARES,Asset Management,274.5,43.8,4.4,5.7,7.6,9.8,-4.2,-18.8,-33.4,-15.2,42.7,274.5,631.0,-8.6,1.3,901.2,566.7158279466295,418.3,66.0,66.0,68.0,68.0,27.44,27.44,116.14,116.14,25,-78.7495045011741,STRONG_UP,MID_RANGE,MOMENTUM_UP,S1_LEADER,,,,,66.0,66.0,68.0,68.0,27.44,27.44,272.0,10.0,0.0,-6.0,0.0,116.14,116.14,,,,,,,111000011,111111110,181.19,-26.7,False
48,AAPL,Consumer Electronics,239.2,91.0,-7.0,-3.8,1.2,2.5,1.9,7.9,2.1,6.3,47.5,239.2,264.2,-12.6,1.2,218.6,54.75901898865752,383.1,72.0,72.0,74.0,74.0,0.0,0.0,116.85,116.85,-15,10.459018988657526,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,72.0,72.0,74.0,74.0,0.0,0.0,177.0,0.0,0.0,25.0,-8.0,116.85,116.85,,,,,,,011111111,111111111,317.4,-6.86,False
49,LITE,Communication Equipment,1268.6,82.6,2.6,3.0,-3.8,3.9,62.8,338.7,1077.1,1049.3,1027.9,1268.6,1558.0,-109.6,1.5,429.4,2.6272456107776443,1412.5,13.0,13.0,14.0,14.0,27.73,27.73,117.08,117.08,11,2.7287152156444474,STRONG_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,13.0,13.0,14.0,14.0,27.73,27.73,20.0,0.0,0.0,25.0,0.0,117.08,117.08,,,,,,,101111111,111100011,1085.6801,-18.06,False
50,PH,Diversified Machinery,208.1,74.4,3.1,2.2,6.5,-4.6,-4.8,2.1,25.3,72.9,127.7,208.1,289.7,-29.7,1.1,250.5,66.27586192366245,352.0,82.0,82.0,85.0,85.0,10.48,10.48,119.58,119.58,73,-26.00716355440352,EARLY_UP,UPPER_RANGE,MOMENTUM_UP,S2_EARLY_BREAKOUT,,,,,82.0,82.0,85.0,85.0,10.48,10.48,256.0,0.0,0.0,-4.0,0.0,119.58,119.58,,,,,,,110011111,001111111,1034.96,-12.81,False
