Rank,Ticker,Sector,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,1m,3m,6m,1y,2y,3y,5y,7y,max,Max_Divergence,Min_Divergence,Volatility_Adjustment,Expected_Return,Dynamic_Expected_Return,Total_Return,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Average_Rank,Average_Rank,Delta_Previous_Rank,Delta_Previous_Dynamic_Expected_Return,Trend_State,Position_State,Momentum_State,Composite_State,DER_cap_monthly,DER_capped,F_trend,DER_capped_trend,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Recent_Momentum_Rank,Recent_Weakness_Penalty,Coverage_Penalty,State_Adjustment,Durability_Adjustment,Average_Rank,Average_Rank,Market_Cap,Market_Cap_B,Market_Cap_Rank,Market_Cap_Bucket,Market_Cap_Asset_Type,Market_Cap_Source,High_52W,Pct_From_52W_High,At_52W_High
11,FIX,Engineering & Construction,2906.9,92.5,3.8,2.4,11.7,40.9,100.9,235.9,413.7,970.6,1812.6,2906.9,3095.3,-40.0,1.1,1423.2,198.04672296796687,3057.2,2.0,2.0,2.0,2.0,8.89,8.89,60.84,60.84,2,-11.082957125752415,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,2.0,2.0,2.0,2.0,8.89,8.89,35.0,0.0,0.0,25.0,0.0,60.84,60.84,67364983275.53,67.365,194.0,large,equity,data_raw,2073.9883,-7.68,False
12,JBL,Electronic Manufacturing Services,679.6,96.7,2.4,4.1,15.2,32.6,46.4,98.7,113.8,228.6,408.2,679.6,653.4,-28.8,1.1,339.3,51.85303247219572,829.9,33.0,33.0,35.0,35.0,0.0,0.0,62.45,62.45,2,-1.7588870313878715,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,33.0,33.0,35.0,35.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,62.45,62.45,39438990928.76,39.439,271.0,large,equity,data_raw,384.7,-2.83,False
13,SMH,Unknown,651.7,97.6,-1.3,10.7,27.5,40.9,66.0,97.3,131.6,211.6,324.7,651.7,667.5,-5.3,1.2,292.3,49.204124644789545,801.9,36.0,36.0,37.0,37.0,0.0,0.0,62.95,62.95,8,1.6389820420011745,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,36.0,36.0,37.0,37.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,62.95,62.95,67822489600.0,67.822,,etf,etf,data_raw,642.77,-2.37,False
14,ANET,Networking Equipment,800.2,88.8,3.8,-5.7,5.0,8.8,14.0,29.0,64.7,190.5,381.8,800.2,904.1,-19.6,1.3,676.1,158.08472917924493,950.5,29.0,29.0,30.0,30.0,9.85,9.85,66.65,66.65,3,-12.003290949338776,EARLY_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,29.0,29.0,30.0,30.0,9.85,9.85,123.0,0.0,0.0,0.0,0.0,66.65,66.65,209034711485.56,209.035,57.0,cap100,equity,data_raw,179.79,-7.66,False
15,APP,Software,987.9,64.1,-8.1,3.8,13.6,1.9,2.6,116.8,486.4,997.0,,987.9,1542.2,-55.4,1.4,1435.6,336.31370291778427,1050.9,25.0,25.0,24.0,24.0,12.5,12.5,69.2,69.2,-6,32.44751321923832,STRONG_UP,UPPER_RANGE,NEUTRAL,S0_NEUTRAL,,,,,25.0,25.0,24.0,24.0,12.5,12.5,125.0,0.0,11.0,0.0,0.0,69.2,69.2,170864441347.17,170.864,72.0,cap100,equity,data_raw,745.61,-25.05,False
16,VRT,Electrical Equipment & Parts,1480.4,83.8,1.5,-3.0,5.0,34.7,72.3,136.8,303.8,936.3,1303.9,1480.4,1741.3,-60.9,1.3,893.3,176.93011914884383,1584.5,10.0,10.0,10.0,10.0,12.07,12.07,72.02,72.02,4,-0.020999765907788515,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,10.0,10.0,10.0,10.0,12.07,12.07,49.0,0.0,0.0,25.0,0.0,72.02,72.02,124420532836.43,124.421,95.0,cap100,equity,data_raw,379.93,-14.74,False
17,AXON,Public Safety Technology,551.9,45.4,7.6,15.1,5.1,-2.7,-24.8,-20.5,2.6,60.1,142.5,551.9,1246.3,-25.7,1.4,1734.9,943.721829596247,702.2,43.0,43.0,44.0,44.0,4.96,4.96,72.16,72.16,91,-219.36214794078035,STRONG_UP,MID_RANGE,MOMENTUM_UP,S1_LEADER,,,,,43.0,43.0,44.0,44.0,4.96,4.96,217.0,10.0,0.0,-6.0,0.0,72.16,72.16,41364986900.31,41.365,260.0,large,equity,data_raw,764.02,-32.83,False
18,MU,Semiconductors,2129.0,91.5,-8.5,37.5,90.3,147.4,382.8,629.0,785.6,1018.8,1239.6,2129.0,2328.6,-25.2,1.5,447.0,34.62223914073608,2279.3,5.0,5.0,6.0,6.0,27.33,27.33,72.58,72.58,0,6.022239140736076,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,5.0,5.0,6.0,6.0,27.33,27.33,4.0,0.0,0.0,0.0,0.0,72.58,72.58,1123223114796.0,1123.223,11.0,cap100,equity,data_raw,1089.29,-8.56,False
19,TSM,Semiconductors,614.2,99.6,1.8,4.6,8.2,19.7,41.6,79.8,140.5,205.4,300.3,614.2,616.9,-6.0,1.2,338.6,51.37216168132188,764.5,39.0,39.0,39.0,39.0,11.44,11.44,72.74,72.74,5,-1.8866721056922842,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,39.0,39.0,39.0,39.0,11.44,11.44,71.0,0.0,0.0,-6.0,0.0,72.74,72.74,2307566087506.56,2307.566,5.0,cap10,equity,data_raw,450.1636,-1.16,False
20,CAT,Construction Machinery,534.1,99.9,9.2,4.8,9.8,25.8,60.2,96.3,124.7,197.9,302.8,534.1,533.7,-5.5,1.2,240.8,34.31207354002717,684.4,45.0,45.0,46.0,46.0,4.44,4.44,73.14,73.14,16,-8.220118180240462,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,45.0,45.0,46.0,46.0,4.44,4.44,55.0,0.0,0.0,-6.0,0.0,73.14,73.14,433177539175.9,433.178,24.0,cap100,equity,data_raw,946.83,-0.67,False
21,STX,Data Storage,1834.5,98.2,-1.6,11.5,60.7,116.9,263.4,550.0,745.9,931.1,1200.2,1834.5,1867.5,-36.7,1.2,428.6,27.723060747858487,1984.8,8.0,8.0,8.0,8.0,24.78,24.78,74.23,74.23,-5,1.9921319869212297,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,8.0,8.0,8.0,8.0,24.78,24.78,9.0,0.0,0.0,0.0,0.0,74.23,74.23,209507194685.35,209.507,56.0,cap100,equity,data_raw,966.8,-4.22,False
22,MRVL,Semiconductors,950.8,100.0,2.7,65.5,147.3,197.2,250.7,264.5,295.3,345.8,477.6,950.8,862.2,-14.2,2.4,108.4,23.4,1101.1,24.0,24.0,25.0,25.0,15.89,15.89,74.94,74.94,12,-1.493114021726818,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,24.0,24.0,25.0,25.0,15.89,15.89,1.0,0.0,0.0,-6.0,0.0,74.94,74.94,276812957592.77,276.813,45.0,cap100,equity,data_raw,324.15,-2.38,False
23,CDNS,Electronic Design Automation Software,334.9,91.4,13.5,7.6,18.2,20.6,13.4,12.2,3.9,24.0,76.1,334.9,367.1,-3.4,1.2,270.8,78.43735753608478,485.2,60.0,60.0,61.0,61.0,0.0,0.0,75.0,75.0,17,-27.214044751175848,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,60.0,60.0,61.0,61.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,75.0,75.0,113547928859.86,113.548,109.0,large,equity,data_raw,416.69,-1.2,False
24,QBTS,Quantum Computing,945.7,52.4,-6.0,12.4,36.9,25.8,26.6,701.9,1146.8,1033.6,,945.7,1840.5,-110.7,1.5,1281.2,220.93480086059094,1012.5,26.0,26.0,26.0,26.0,27.0,27.0,77.55,77.55,-1,23.889079476997665,STRONG_UP,UPPER_RANGE,MOMENTUM_DOWN,S0_NEUTRAL,,,,,26.0,26.0,26.0,26.0,27.0,27.0,53.0,0.0,11.0,0.0,0.0,77.55,77.55,10151316981.2,10.151,505.0,other,equity,data_raw,46.75,-40.88,False
25,AMAT,Semiconductor Equipment & Materials,609.2,100.0,1.9,16.8,21.2,43.0,93.7,119.3,129.4,177.3,300.1,609.2,609.0,-21.2,1.6,218.3,35.2,759.5,40.0,40.0,40.0,40.0,15.89,15.89,78.04,78.04,0,-1.6993885798476782,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,40.0,40.0,40.0,40.0,15.89,15.89,29.0,0.0,0.0,-6.0,0.0,78.04,78.04,398329455722.89,398.329,29.0,cap100,equity,data_raw,510.75,-1.77,False
26,LLY,Pharmaceuticals,563.6,93.0,1.6,8.0,3.7,0.7,12.6,7.6,15.7,98.3,251.9,563.6,607.2,-21.4,1.2,483.2,121.61150358992109,713.9,41.0,41.0,42.0,42.0,0.0,0.0,78.05,78.05,-11,-4.974566017289561,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,41.0,41.0,42.0,42.0,0.0,0.0,124.0,0.0,0.0,12.0,0.0,78.05,78.05,1003449869346.44,1003.45,12.0,cap100,equity,data_raw,1149.1,-2.07,False
27,URI,Equipment Rental,350.0,96.7,11.6,9.2,17.6,21.1,15.8,17.4,27.2,71.4,180.4,350.0,362.9,-36.0,1.3,257.6,62.89344575814006,500.3,57.0,57.0,57.0,57.0,8.89,8.89,78.54,78.54,0,-20.700422876010876,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,57.0,57.0,57.0,57.0,8.89,8.89,74.0,0.0,0.0,-6.0,0.0,78.54,78.54,67947708347.45,67.948,192.0,large,equity,data_raw,1091.23,-0.61,False
28,PWR,Construction & Engineering,1030.5,88.6,0.4,-1.7,6.7,25.1,43.4,78.5,112.2,224.7,546.1,1030.5,1124.7,-22.8,1.1,644.6,127.41442197375271,1180.8,19.0,19.0,20.0,20.0,9.29,9.29,80.84,80.84,-2,0.9129091117311674,EARLY_DOWN,OVEREXTENDED,MOMENTUM_DOWN,S5_TRASH,,,,,19.0,19.0,20.0,20.0,9.29,9.29,70.0,0.0,0.0,25.0,0.0,80.84,80.84,107918754791.83,107.919,114.0,large,equity,data_raw,788.72,-8.82,False
29,FTNT,Cybersecurity Software,554.0,100.0,0.0,35.1,54.5,63.1,54.5,53.0,55.9,59.7,158.6,554.0,554.3,-20.2,1.4,302.8,69.2,704.2,42.0,42.0,43.0,43.0,11.44,11.44,82.29,82.29,0,0.10000000000000853,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,42.0,42.0,43.0,43.0,11.44,11.44,25.0,0.0,0.0,12.0,0.0,82.29,82.29,109655483339.45,109.655,113.0,large,equity,data_raw,150.065,-0.26,True
30,IONQ,Quantum Computing,440.9,65.1,-9.2,16.0,53.3,47.3,36.5,196.1,254.1,447.8,,440.9,660.4,-66.8,1.4,406.3,85.20520059826676,506.7,56.0,56.0,54.0,54.0,10.0,10.0,83.2,83.2,-8,10.792427903856861,STRONG_UP,UPPER_RANGE,MOMENTUM_DOWN,S0_NEUTRAL,,,,,56.0,56.0,54.0,54.0,10.0,10.0,34.0,0.0,11.0,0.0,0.0,83.2,83.2,24508906152.64,24.509,365.0,other,equity,data_raw,84.64,-22.42,False
31,PANW,Cybersecurity Software,344.3,89.5,-10.5,21.1,44.4,43.4,34.0,29.1,31.9,74.8,176.4,344.3,389.3,-34.6,1.2,228.5,60.07124611894915,494.5,58.0,58.0,58.0,58.0,0.0,0.0,84.25,84.25,1,10.871246118949145,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,58.0,58.0,58.0,58.0,0.0,0.0,39.0,0.0,0.0,12.0,0.0,84.25,84.25,227588750000.0,227.589,54.0,cap100,equity,data_raw,302.95,-7.82,False
32,LITE,Communication Equipment,1356.5,87.9,8.6,-0.5,7.9,70.6,363.8,855.0,1149.2,1120.4,1098.7,1356.5,1558.0,-109.6,1.6,382.0,0.42701185177472545,1506.8,11.0,11.0,11.0,11.0,27.73,27.73,85.63,85.63,26,1.8812910525030018,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,11.0,11.0,11.0,11.0,27.73,27.73,17.0,0.0,0.0,-6.0,0.0,85.63,85.63,73527225329.59,73.527,175.0,large,equity,data_raw,1085.6801,-12.95,False
33,SOXX,Semiconductor,528.4,96.8,-2.5,14.9,38.3,57.0,88.3,116.0,132.4,179.0,259.2,528.4,544.4,-6.2,1.4,177.0,29.513097920190972,678.6,46.0,46.0,47.0,47.0,11.44,11.44,85.69,85.69,-2,1.529454734050283,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,46.0,46.0,47.0,47.0,11.44,11.44,27.0,0.0,0.0,0.0,0.0,85.69,85.69,38373490688.0,38.373,,etf,etf,data_raw,618.84,-2.6,False
34,WSM,Specialty Retail,321.6,79.2,2.2,6.8,1.8,2.1,0.7,3.9,34.9,77.8,162.9,321.6,417.3,-40.6,1.2,376.4,109.55502290570821,471.8,61.0,61.0,63.0,63.0,4.44,4.44,85.89,85.89,3,-5.858810207877468,STRONG_UP,UPPER_RANGE,NEUTRAL,S0_NEUTRAL,,,,,61.0,61.0,63.0,63.0,4.44,4.44,154.0,0.0,0.0,0.0,0.0,85.89,85.89,24501891851.79,24.502,366.0,other,equity,data_raw,222.0,-6.27,False
35,ASTS,Satellite Communications,1050.4,78.4,-5.8,24.0,21.3,28.8,71.6,248.6,1058.6,1139.8,,1050.4,1328.4,-128.2,1.3,722.8,93.33587030529984,1134.9,23.0,23.0,19.0,19.0,30.5,30.5,86.35,86.35,-5,9.102474512310764,STRONG_UP,UPPER_RANGE,MOMENTUM_DOWN,S0_NEUTRAL,,,,,23.0,23.0,19.0,19.0,30.5,30.5,42.0,0.0,11.0,0.0,0.0,86.35,86.35,32052499705.58,32.052,310.0,other,equity,data_raw,133.8599,-19.85,False
36,AAPL,Consumer Electronics,258.3,97.9,-1.6,3.9,5.4,4.8,11.2,7.6,5.8,10.8,55.0,258.3,264.2,-12.6,1.2,202.8,46.380157266024945,408.6,68.0,68.0,71.0,71.0,0.0,0.0,87.2,87.2,-8,1.5928180706313313,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,68.0,68.0,71.0,71.0,0.0,0.0,120.0,0.0,0.0,12.0,-18.0,87.2,87.2,4571145969240.11,4571.146,2.0,cap10,equity,data_raw,316.94,-1.8,False
37,TRX-USD,Cryptocurrency,794.6,12.1,-0.6,-3.4,-2.5,1.5,-4.4,23.9,72.1,154.2,465.9,794.6,6637.4,-26.9,1.2,6305.6,1622.5970321825112,909.9,30.0,30.0,31.0,31.0,9.91,9.91,88.61,88.61,-29,124.4540097289721,EARLY_DOWN,LOWER,MOMENTUM_DOWN,S5_TRASH,,,,,30.0,30.0,31.0,31.0,9.91,9.91,214.0,0.0,0.0,25.0,0.0,88.61,88.61,31458914859.21,31.459,,crypto,crypto,data_raw,0.3763,-11.83,False
38,ASML,Semi-Conductors,458.1,100.0,2.8,13.1,12.7,24.0,57.4,75.4,73.5,83.6,152.3,458.1,456.7,-5.8,1.7,208.2,36.5,608.3,51.0,51.0,51.0,51.0,22.89,22.89,92.94,92.94,10,-2.423936158410733,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,51.0,51.0,51.0,51.0,22.89,22.89,52.0,0.0,0.0,-6.0,0.0,92.94,92.94,677359972416.02,677.36,17.0,cap100,equity,data_raw,1779.285,-1.23,False
39,IRM,Data Storage & Management,240.7,77.5,1.6,0.3,6.0,21.3,18.5,8.8,19.8,54.7,143.9,240.7,320.0,-29.9,1.2,213.0,78.74315024347196,391.0,70.0,70.0,73.0,73.0,13.33,13.33,96.33,96.33,2,-2.3119065094907114,STRONG_UP,UPPER_RANGE,MOMENTUM_DOWN,S0_NEUTRAL,,,,,70.0,70.0,73.0,73.0,13.33,13.33,90.0,0.0,0.0,0.0,0.0,96.33,96.33,38752589700.25,38.753,276.0,large,equity,data_raw,134.09,-2.86,False
40,TPL,Homebuilding,451.8,49.4,2.3,-0.2,-13.9,2.1,3.3,-5.0,17.6,32.2,128.0,451.8,919.6,-5.5,1.4,950.3,470.1644302624601,602.1,52.0,52.0,53.0,53.0,21.47,21.47,97.02,97.02,24,-7.7903750327853345,STRONG_DOWN,MID_RANGE,MOMENTUM_UP,S4_BOTTOMING,,,,,52.0,52.0,53.0,53.0,21.47,21.47,231.0,4.0,0.0,-2.0,0.0,97.02,97.02,28053970264.95,28.054,337.0,other,equity,data_raw,547.2,-25.67,False
41,GWW,Industrial Distribution,171.3,77.8,6.1,5.6,3.6,9.5,9.8,1.6,-0.4,30.0,81.8,171.3,230.8,-40.3,1.2,175.3,68.11908807192455,321.5,96.0,96.0,99.0,99.0,3.0,3.0,98.0,98.0,40,-6.327932986545392,STRONG_UP,UPPER_RANGE,MOMENTUM_UP,S1_LEADER,,,,,96.0,96.0,99.0,99.0,3.0,3.0,112.0,0.0,0.0,-6.0,0.0,98.0,98.0,60875179014.5,60.875,207.0,large,equity,data_raw,1300.0,-0.82,False
42,STLD,Steel,427.1,100.0,0.5,10.8,22.7,34.8,60.6,72.4,75.1,121.8,300.4,427.1,427.5,-47.6,1.3,180.4,32.9,577.4,53.0,53.0,56.0,56.0,24.78,24.78,98.13,98.13,2,-0.33706857750944863,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,53.0,53.0,56.0,56.0,24.78,24.78,44.0,0.0,0.0,-6.0,0.0,98.13,98.13,39925309300.05,39.925,270.0,large,equity,data_raw,280.4899,-1.3,False
43,COHR,,713.5,98.7,12.1,19.7,36.7,71.4,183.8,294.3,461.6,531.1,593.4,713.5,724.2,-81.6,1.6,154.9,6.662733067868756,863.8,32.0,32.0,33.0,33.0,29.22,29.22,98.67,98.67,13,-1.3979824410303587,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,32.0,32.0,33.0,33.0,29.22,29.22,13.0,0.0,0.0,-6.0,0.0,98.67,98.67,82540228335.81,82.54,148.0,large,equity,data_raw,439.77,-4.06,False
44,CIEN,Communications Equipment,1122.6,83.6,-12.1,-5.4,11.5,60.3,219.1,457.4,621.3,697.0,763.6,1122.6,1355.9,-63.2,1.3,392.1,17.09883781961749,1272.9,16.0,16.0,16.0,16.0,27.73,27.73,98.73,98.73,-1,4.670879161227399,STRONG_UP,OVEREXTENDED,MOMENTUM_DOWN,S3_LATE_EXHAUSTION,,,,,16.0,16.0,16.0,16.0,27.73,27.73,20.0,0.0,0.0,12.0,0.0,98.73,98.73,75737240144.43,75.737,167.0,large,equity,data_raw,637.51,-15.98,False
45,SNDK,Data Storage Devices,2167.5,95.8,-4.2,21.6,87.0,271.2,1514.8,,,,,2167.5,2232.5,-4.5,1.5,452.5,441.866839239618,2185.6,6.0,6.0,5.0,5.0,17.5,17.5,98.85,98.85,-6,30.366839239618002,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,6.0,6.0,5.0,5.0,17.5,17.5,5.0,0.0,60.0,0.0,0.0,98.85,98.85,260590593311.48,260.591,47.0,cap100,equity,data_raw,1860.9999,-5.44,False
46,RKLB,Aerospace & Defense,1343.9,77.2,-17.9,22.6,44.0,66.1,115.0,601.3,1165.6,1395.0,,1343.9,1719.1,-77.2,1.3,740.3,83.85865345750253,1411.6,12.0,12.0,12.0,12.0,27.0,27.0,101.2,101.2,-11,27.8058019867293,EARLY_DOWN,UPPER_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,12.0,12.0,12.0,12.0,27.0,27.0,16.0,0.0,11.0,25.0,0.0,101.2,101.2,69435151859.69,69.435,186.0,large,equity,data_raw,150.9999,-20.56,False
47,MS,Investment Banking & Brokerage,237.6,100.0,0.0,6.7,12.5,13.4,23.6,45.6,67.9,81.6,149.8,237.6,237.9,-20.8,1.1,133.9,19.3,387.9,72.0,72.0,75.0,75.0,8.89,8.89,102.29,102.29,3,0.1999999999999993,STRONG_UP,OVEREXTENDED,MOMENTUM_UP,S1_LEADER,,,,,72.0,72.0,75.0,75.0,8.89,8.89,80.0,0.0,0.0,-6.0,0.0,102.29,102.29,344273963745.48,344.274,34.0,cap100,equity,data_raw,219.16,-0.41,True
48,IBKR,Capital Markets,341.7,96.4,-0.5,0.8,6.6,12.1,17.0,54.3,111.6,199.5,274.2,341.7,313.6,-46.8,1.2,206.1,29.117081993776264,492.0,59.0,59.0,59.0,59.0,13.33,13.33,102.88,102.88,15,0.49621642781878705,STRONG_UP,OVEREXTENDED,NEUTRAL,S0_NEUTRAL,,,,,59.0,59.0,59.0,59.0,13.33,13.33,98.0,0.0,0.0,0.0,0.0,102.88,102.88,38783867642.23,38.784,275.0,large,equity,data_raw,91.02,-4.35,False
